ENTIDAD,DISTRITO,grupo_parlamentario,VOTOS,coalicion,tipo_eleccion
AGUASCALIENTES,1,PAN,56813.60830906354,,MR
AGUASCALIENTES,2,PAN,59542.68496506183,,MR
AGUASCALIENTES,3,PAN,64896.33510425302,,MR
AGUASCALIENTES,4,PAN,47862.37162162162,,MR
BAJA CALIFORNIA,1,MORENA,60871.38289338289,,MR
BAJA CALIFORNIA,2,MORENA,78897.91483101805,,MR
BAJA CALIFORNIA,3,MORENA,58422.246334995565,,MR
BAJA CALIFORNIA,4,MORENA,84925.52448522199,,MR
BAJA CALIFORNIA,5,MORENA,93053.07646157651,,MR
BAJA CALIFORNIA,6,MORENA,60313.54517629517,,MR
BAJA CALIFORNIA,7,MORENA,60613.30981750982,,MR
BAJA CALIFORNIA SUR,1,MORENA,24504.864225437013,,MR
BAJA CALIFORNIA SUR,2,MORENA,33770.835141651594,,MR
BAJA CALIFORNIA SUR,3,MORENA,43678.30063291139,,MR
CAMPECHE,1,MORENA,54068.2470435127,,MR
CAMPECHE,2,MORENA,60413.6409211792,,MR
CAMPECHE,3,MORENA,58235.11203530809,,MR
CHIAPAS,1,MORENA,70291.75475005922,,MR
CHIAPAS,2,MORENA,69597.8480013166,,MR
CHIAPAS,3,MORENA,66459.38520983375,,MR
CHIAPAS,4,MORENA,78958.49529026507,,MR
CHIAPAS,5,MORENA,66748.45103986548,,MR
CHIAPAS,6,MORENA,83219.06570865987,,MR
CHIHUAHUA,1,MORENA,34264.72088353413,,MR
CHIHUAHUA,2,MORENA,40307.1233167966,,MR
CHIHUAHUA,3,MORENA,39379.15579966927,,MR
COAHUILA,1,PRI,26670.436111530587,,MR
COAHUILA,2,PRI,52047.968345556656,,MR
COAHUILA,3,PRI,45466.46673783005,,MR
COAHUILA,4,PRI,80604.51323503026,,MR
COAHUILA,5,PRI,46458.05713069231,,MR
COAHUILA,6,PRI,78575.64264947105,,MR
COAHUILA,7,PRI,37512.133229617604,,MR
COAHUILA,8,PRI,67931.61870769502,,MR
COAHUILA,9,PRI,42984.50986745464,,MR
COAHUILA,10,PRI,37993.65398512185,,MR
COLIMA,1,MORENA,27546.380538976307,,MR
COLIMA,2,MORENA,17129.423765599568,,MR
COLIMA,3,MORENA,6621.131578947368,,MR
COLIMA,4,MORENA,17608.600850063303,,MR
COLIMA,5,MORENA,1805.7631578947367,,MR
COLIMA,6,MORENA,481.53684210526313,,MR
COLIMA,7,MORENA,20311.163266413456,,MR
CIUDAD DE MEXICO,1,MORENA,79562.71919050592,,MR
