PARTIDO,200-200 SIN TOPES,240-160 CON TOPES,240-160 SIN TOPES,300-100 CON TOPES
MORENA,169,173,182,173
PAN,81,79,73,91
PRI,56,49,49,49
PVEM,34,36,35,32
PT,26,30,28,33
MC,20,18,18,16
PRD,14,15,15,6
FXM,0,0,0,0
PES,0,0,0,0
RSP,0,0,0,0
