ENTIDAD,DISTRITO,grupo_parlamentario,VOTOS,coalicion,tipo_eleccion
AGUASCALIENTES,1,PAN,56813.60830906354,,MR
AGUASCALIENTES,2,PAN,59542.68496506183,,MR
AGUASCALIENTES,3,PAN,64896.33510425302,,MR
AGUASCALIENTES,4,PAN,47862.37162162162,,MR
BAJA CALIFORNIA,1,MORENA,61902.500940800935,,MR
BAJA CALIFORNIA,2,MORENA,89379.6896270479,,MR
BAJA CALIFORNIA,3,MORENA,80701.2491401299,,MR
BAJA CALIFORNIA,4,MORENA,97533.17575857317,,MR
BAJA CALIFORNIA,5,MORENA,105441.0859624995,,MR
BAJA CALIFORNIA,6,MORENA,62139.298570948566,,MR
BAJA CALIFORNIA SUR,1,MORENA,24504.864225437013,,MR
BAJA CALIFORNIA SUR,2,MORENA,33770.835141651594,,MR
BAJA CALIFORNIA SUR,3,MORENA,43678.30063291139,,MR
CAMPECHE,1,MORENA,54068.2470435127,,MR
CAMPECHE,2,MORENA,60413.6409211792,,MR
CAMPECHE,3,MORENA,58235.11203530809,,MR
CHIAPAS,1,MORENA,95421.84301981173,,MR
CHIAPAS,2,MORENA,47803.403677454786,,MR
CHIAPAS,3,MORENA,98699.52706703215,,MR
CHIAPAS,4,MORENA,88716.10537969002,,MR
CHIAPAS,5,MORENA,104634.12085601133,,MR
CHIHUAHUA,1,MORENA,34264.72088353413,,MR
CHIHUAHUA,2,MORENA,40307.1233167966,,MR
CHIHUAHUA,3,MORENA,39379.15579966927,,MR
COAHUILA,1,PRI,43944.579481285255,,MR
COAHUILA,2,PRI,32985.618737148536,,MR
COAHUILA,3,PRI,103175.63741610304,,MR
COAHUILA,4,PRI,82033.84463033141,,MR
COAHUILA,5,PRI,74306.15961420684,,MR
COAHUILA,6,PRI,59768.6935112692,,MR
COAHUILA,7,PRI,44146.944436982165,,MR
COAHUILA,8,PRI,75883.52217267353,,MR
COLIMA,1,MORENA,25364.940350877194,,MR
COLIMA,2,MORENA,2528.0684210526315,,MR
COLIMA,3,MORENA,24996.342593597394,,MR
COLIMA,4,MORENA,29465.448634472785,,MR
COLIMA,5,MORENA,4935.752631578947,,MR
COLIMA,6,MORENA,4213.4473684210525,,MR
CIUDAD DE MEXICO,1,MORENA,95068.62018312153,,MR
CIUDAD DE MEXICO,2,MORENA,119760.73945808315,,MR
CIUDAD DE MEXICO,3,MORENA,116813.70293117955,,MR
CIUDAD DE MEXICO,4,MORENA,124611.03207520301,,MR
CIUDAD DE MEXICO,5,MORENA,151874.07076942685,,MR
