Año,Coalición,Partido,MR_Escaños,PM_Escaños,RP_Escaños,Total_Escaños,Porcentaje
2021,SHH,MORENA,177,34,38,249,49.8
2021,SHH,PT,0,0,4,4,0.8
2021,SHH,PVEM,5,0,6,11,2.2
2021,FCM,PAN,77,16,20,113,22.6
2021,FCM,PRI,33,41,20,94,18.8
2021,FCM,PRD,1,3,4,8,1.6
2021,MC,MC,7,6,8,21,4.2
2024,SHH,MORENA,250,29,42,321,64.2
2024,SHH,PT,0,0,6,6,1.2
2024,SHH,PVEM,6,1,9,16,3.2
2024,FCM,PAN,36,38,18,92,18.4
2024,FCM,PRI,7,14,12,33,6.6
2024,FCM,PRD,0,0,2,2,0.4
2024,MC,MC,1,18,11,30,6.0
