entidad,distrito,primer_lugar,segundo_lugar,tercer_lugar,votos_1ro,votos_2do,votos_3ro
,4,SHH,FCM,MC,129761.0,44309.0,25664.0
,4,FCM,SHH,MC,137511.0,78037.0,12796.0
,4,SHH,FCM,MC,113066.0,46172.0,12031.0
,4,SHH,FCM,MC,116827.0,63496.0,12644.0
,4,SHH,FCM,MC,129671.0,35672.0,13822.0
,4,SHH,FCM,MC,105524.0,44064.0,15326.0
,4,SHH,FCM,MC,145909.0,25127.0,14002.0
,4,SHH,FCM,MC,99421.0,43526.0,31378.0
,4,FCM,SHH,MC,93886.0,85796.0,13896.0
,4,FCM,SHH,MC,118186.0,69479.0,13386.0
,4,SHH,FCM,MC,91486.0,56558.0,23638.0
,5,SHH,FCM,MC,114662.0,55329.0,18945.0
,5,SHH,FCM,MC,89342.0,77947.0,15360.0
,5,FCM,SHH,MC,98979.0,73225.0,16722.0
,5,SHH,FCM,MC,126974.0,83788.0,21274.0
,5,FCM,SHH,MC,96677.0,87469.0,5763.0
,5,FCM,SHH,MC,92973.0,64549.0,12741.0
,5,SHH,FCM,MC,124674.0,52352.0,16578.0
,5,SHH,FCM,MC,165187.0,45201.0,17918.0
,5,SHH,MC,FCM,108347.0,45778.0,24355.0
,5,SHH,FCM,MC,110877.0,66968.0,12557.0
,5,SHH,FCM,MC,85703.0,74998.0,14615.0
,5,SHH,FCM,MC,108685.0,30634.0,26209.0
,5,SHH,MC,FCM,71409.0,45247.0,44478.0
,5,SHH,FCM,MC,143666.0,13672.0,7441.0
,5,SHH,FCM,MC,121538.0,39358.0,26816.0
,5,FCM,SHH,MC,79033.0,75349.0,9016.0
,5,FCM,SHH,MC,102448.0,90179.0,18644.0
,5,SHH,FCM,MC,112975.0,65300.0,14982.0
,5,SHH,FCM,MC,91112.0,78726.0,15742.0
,5,SHH,FCM,MC,160588.0,23491.0,17471.0
,5,SHH,FCM,MC,141857.0,63909.0,17995.0
,5,SHH,FCM,MC,135589.0,43444.0,21068.0
,5,SHH,FCM,MC,140866.0,75401.0,11796.0
,6,SHH,FCM,MC,114582.0,41679.0,18058.0
,6,SHH,FCM,MC,135751.0,23796.0,14555.0
,6,FCM,SHH,MC,132026.0,75959.0,15029.0
,6,SHH,FCM,MC,116871.0,109637.0,18269.0
,6,SHH,FCM,MC,89878.0,84346.0,5885.0
,6,FCM,SHH,MC,93696.0,63745.0,12201.0
,6,SHH,FCM,MC,105343.0,67352.0,16841.0
,6,SHH,FCM,MC,139128.0,52069.0,25155.0
