Plan,Total Senadores,Necesarios (>50%),Obtenidos,% Votos Necesario,Estados Ganados,Senadores MR,Senadores RP,Viable
Sistema Vigente (64 MR + 32 PM + 32 RP = 128),128,65,72,38%,30/32,60,12,✅
Plan A (96 RP puro),96,49,0,51.041666666666664%,0/32,0,49,✅
