ENTIDAD,ENT_KEY,DISTRITO,DIST_CH,N_PARTY_COLS,PARTY_COLS,TOTAL_VOTOS,N_WINNERS,WINNERS,SIGLADO_DOMINANTE,SIGLADO_PRESENT
MÉXICO,MXICO,11,011,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,185401,1,MORENA,,False
MÉXICO,MXICO,13,013,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,231673,1,MORENA,,False
MÉXICO,MXICO,17,017,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,170538,1,MORENA,,False
MÉXICO,MXICO,29,029,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,216089,1,MORENA,,False
MÉXICO,MXICO,31,031,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,216846,1,MORENA,,False
MÉXICO,MXICO,33,033,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,157773,1,MORENA,,False
