Estado,Total Distritos,Distritos MORENA,% MORENA
AGUASCALIENTES,5,1,20.0
BAJA CALIFORNIA,9,5,55.6
BAJA CALIFORNIA SUR,3,1,33.3
CAMPECHE,4,1,25.0
CHIAPAS,8,3,37.5
CHIHUAHUA,3,1,33.3
COAHUILA,12,5,41.7
COLIMA,9,3,33.3
CIUDAD DE MEXICO,19,8,42.1
DURANGO,5,2,40.0
GUANAJUATO,14,5,35.7
GUERRERO,9,4,44.4
HIDALGO,8,4,50.0
JALISCO,18,6,33.3
MEXICO,34,15,44.1
MICHOACAN,11,5,45.5
MORELOS,6,2,33.3
NAYARIT,4,1,25.0
NUEVO LEON,13,3,23.1
OAXACA,10,5,50.0
PUEBLA,14,6,42.9
QUERETARO,6,2,33.3
QUINTANA ROO,5,2,40.0
SAN LUIS POTOSI,7,1,14.3
SINALOA,8,4,50.0
SONORA,8,4,50.0
TABASCO,6,4,66.7
TAMAULIPAS,9,4,44.4
TLAXCALA,5,2,40.0
VERACRUZ,17,9,52.9
YUCATAN,6,2,33.3
ZACATECAS,5,1,20.0
