partido,ssd_compound,mr_engine,rp_engine,tot_engine,rp_py,tot_py
MORENA,142,245,12,257,90,232
PAN,12,33,60,93,37,49
PRI,17,6,40,46,24,41
MC,0,10,39,49,24,24
PVEM,71,6,30,36,13,84
PT,46,0,19,19,12,58
PRD,12,0,0,0,0,12
