ENTIDAD,DISTRITO,assigned_party,reason
MICHOACAN,8,PRI,siglado_ppn_mismatch_fallback_votes
NUEVO LEON,8,MORENA,siglado_ppn
OAXACA,8,PRI,siglado_ppn_mismatch_fallback_votes
PUEBLA,8,MORENA,siglado_ppn
VERACRUZ,8,PAN,siglado_ppn
BAJA CALIFORNIA,9,PRI,siglado_ppn
CHIAPAS,9,MORENA,siglado_ppn
CIUDAD DE MEXICO,9,MORENA,siglado_ppn
JALISCO,9,MORENA,siglado_ppn
MEXICO,9,PRI,siglado_ppn_mismatch_fallback_votes
MICHOACAN,9,PAN,siglado_ppn_mismatch_fallback_votes
OAXACA,9,PRD,siglado_ppn_mismatch_fallback_votes
PUEBLA,9,PAN,siglado_ppn_mismatch_fallback_votes
VERACRUZ,9,PRI,siglado_ppn_mismatch_fallback_votes
CHIAPAS,10,PRD,siglado_ppn_mismatch_fallback_votes
GUANAJUATO,10,MORENA,siglado_ppn
MEXICO,10,MORENA,siglado_ppn
OAXACA,10,PAN,siglado_ppn
PUEBLA,10,MORENA,siglado_ppn
VERACRUZ,10,MORENA,siglado_ppn
CHIAPAS,11,PRD,siglado_ppn_mismatch_fallback_votes
CIUDAD DE MEXICO,11,MORENA,siglado_ppn
JALISCO,11,MORENA,siglado_ppn
MEXICO,11,PRD,siglado_ppn
MICHOACAN,11,PRD,siglado_ppn_mismatch_fallback_votes
PUEBLA,11,PRI,siglado_ppn_mismatch_fallback_votes
VERACRUZ,11,MORENA,siglado_ppn
CHIAPAS,12,PRD,siglado_ppn
GUANAJUATO,12,MORENA,siglado_ppn
JALISCO,12,MORENA,siglado_ppn
MEXICO,12,MORENA,siglado_ppn
NUEVO LEON,12,PRI,siglado_ppn_mismatch_fallback_votes
PUEBLA,12,PAN,siglado_ppn_mismatch_fallback_votes
VERACRUZ,12,MORENA,siglado_ppn
CHIAPAS,13,PRI,siglado_ppn_mismatch_fallback_votes
CIUDAD DE MEXICO,13,MORENA,siglado_ppn
GUANAJUATO,13,MORENA,siglado_ppn
JALISCO,13,PRI,siglado_ppn_mismatch_fallback_votes
MEXICO,13,PAN,siglado_ppn
NUEVO LEON,13,PAN,siglado_ppn_mismatch_fallback_votes
PUEBLA,13,MORENA,siglado_ppn
VERACRUZ,13,PAN,siglado_ppn_mismatch_fallback_votes
CIUDAD DE MEXICO,14,MORENA,siglado_ppn
GUANAJUATO,14,MORENA,siglado_ppn
JALISCO,14,PRD,siglado_ppn_mismatch_fallback_votes
MEXICO,14,MORENA,siglado_ppn
NUEVO LEON,14,PAN,siglado_ppn_mismatch_fallback_votes
PUEBLA,14,MORENA,siglado_ppn
VERACRUZ,14,MORENA,siglado_ppn
GUANAJUATO,15,MORENA,siglado_ppn
MEXICO,15,MORENA,siglado_ppn
PUEBLA,15,MORENA,siglado_ppn
VERACRUZ,15,MORENA,siglado_ppn
CIUDAD DE MEXICO,16,MORENA,siglado_ppn
JALISCO,16,MORENA,siglado_ppn
MEXICO,16,PRI,siglado_ppn_mismatch_fallback_votes
PUEBLA,16,PRD,siglado_ppn_mismatch_fallback_votes
VERACRUZ,16,MORENA,siglado_ppn
CIUDAD DE MEXICO,17,PAN,siglado_ppn_mismatch_fallback_votes
JALISCO,17,PAN,siglado_ppn_mismatch_fallback_votes
MEXICO,17,PRI,siglado_ppn
VERACRUZ,17,MORENA,siglado_ppn
CIUDAD DE MEXICO,18,MORENA,siglado_ppn
JALISCO,18,MORENA,siglado_ppn
MEXICO,18,PAN,siglado_ppn_mismatch_fallback_votes
VERACRUZ,18,PRD,siglado_ppn_mismatch_fallback_votes
JALISCO,19,MORENA,siglado_ppn
MEXICO,19,MORENA,siglado_ppn
VERACRUZ,19,MORENA,siglado_ppn
CIUDAD DE MEXICO,20,PRD,siglado_ppn_mismatch_fallback_votes
JALISCO,20,MORENA,siglado_ppn
MEXICO,20,PRI,siglado_ppn_mismatch_fallback_votes
CIUDAD DE MEXICO,21,MORENA,siglado_ppn
MEXICO,21,MORENA,siglado_ppn
CIUDAD DE MEXICO,22,MORENA,siglado_ppn
MEXICO,23,PRI,siglado_ppn_mismatch_fallback_votes
MEXICO,24,PAN,siglado_ppn_mismatch_fallback_votes
MEXICO,25,MORENA,siglado_ppn
MEXICO,26,PRI,siglado_ppn_mismatch_fallback_votes
MEXICO,27,PRI,siglado_ppn_mismatch_fallback_votes
MEXICO,28,MORENA,siglado_ppn
MEXICO,29,PRD,siglado_ppn
MEXICO,30,MORENA,siglado_ppn
MEXICO,31,PRD,siglado_ppn
MEXICO,32,PT,siglado_ppn
MEXICO,33,PRI,siglado_ppn
MEXICO,34,MORENA,siglado_ppn
MEXICO,35,MORENA,siglado_ppn
MEXICO,36,MORENA,siglado_ppn
MEXICO,37,MORENA,siglado_ppn
MEXICO,38,PRD,siglado_ppn_mismatch_fallback_votes
MEXICO,39,PRI,siglado_ppn_mismatch_fallback_votes
MEXICO,40,PAN,siglado_ppn_mismatch_fallback_votes
