ENTIDAD,DISTRITO,assigned_party,assigned_source,postuladores,siglado_ppn,mr_por_convenio,mr_por_afiliacion,winner_by_votes_valid,winner_by_votes_raw
COLIMA,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
DURANGO,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
DURANGO,2,MORENA,votes_valid,,PT,,,MORENA,MORENA
DURANGO,3,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
DURANGO,4,MORENA,votes_valid,,PT,,,MORENA,MORENA
GUANAJUATO,1,PAN,votes_valid,,PT,,,PAN,PAN
GUANAJUATO,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
GUANAJUATO,3,PAN,votes_valid,,PVEM,,,PAN,PAN
GUANAJUATO,4,PAN,votes_valid,,MORENA,,,PAN,PAN
GUANAJUATO,5,PAN,votes_valid,,PVEM,,,PAN,PAN
GUANAJUATO,6,PAN,votes_valid,,MORENA,,,PAN,PAN
GUANAJUATO,7,PAN,votes_valid,,PVEM,,,PAN,PAN
GUANAJUATO,8,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
GUANAJUATO,9,PAN,votes_valid,,PVEM,,,PAN,PAN
GUANAJUATO,10,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
GUANAJUATO,11,PAN,votes_valid,,MORENA,,,PAN,PAN
GUANAJUATO,12,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
GUANAJUATO,13,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
GUANAJUATO,14,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
GUANAJUATO,15,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
GUERRERO,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
GUERRERO,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
GUERRERO,3,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
GUERRERO,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
GUERRERO,5,MORENA,votes_valid,,PT,,,MORENA,MORENA
GUERRERO,6,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
GUERRERO,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
GUERRERO,8,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
HIDALGO,1,MORENA,votes_valid,,PRI,,,MORENA,MORENA
HIDALGO,2,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
HIDALGO,3,MORENA,votes_valid,,PRD,,,MORENA,MORENA
HIDALGO,4,MORENA,votes_valid,,PRI,,,MORENA,MORENA
HIDALGO,5,MORENA,votes_valid,,PAN,,,MORENA,MORENA
HIDALGO,6,MORENA,votes_valid,,PRI,,,MORENA,MORENA
HIDALGO,7,MORENA,votes_valid,,PRI,,,MORENA,MORENA
JALISCO,1,MORENA,votes_valid,,PT,,,MORENA,MORENA
JALISCO,2,MC,votes_valid,,MORENA,,,MC,MC
JALISCO,3,PAN,afiliacion_override,,PAN,PAN,PAN,PAN,PAN
JALISCO,4,MC,votes_valid,,MORENA,,,MC,MC
JALISCO,5,MORENA,votes_valid,,PRI,,,MORENA,MORENA
JALISCO,6,MC,votes_valid,,MORENA,,,MC,MC
JALISCO,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
JALISCO,8,MC,votes_valid,,PT,,,MC,MC
JALISCO,9,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
JALISCO,10,PAN,votes_valid,,PVEM,,,PAN,PAN
JALISCO,11,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
JALISCO,12,MC,votes_valid,,MORENA,,,MC,MC
