ENTIDAD,DISTRITO,postuladores,winner_by_votes_raw,winner_by_votes_valid,siglado_ppn,mr_por_convenio,mr_por_afiliacion,PVEM_raw_gana_sin_nominar,incompleto_siglado
MICHOACAN,2,,MORENA,MORENA,PRD,,,0,0
MICHOACAN,3,,MORENA,MORENA,PT,,,0,0
MICHOACAN,6,,MORENA,MORENA,PT,,,0,0
MICHOACAN,8,,MORENA,MORENA,PVEM,,,0,0
MICHOACAN,9,,MORENA,MORENA,PVEM,,,0,0
MICHOACAN,10,,PAN,PAN,MORENA,,,0,0
MICHOACAN,11,,MORENA,MORENA,PT,,,0,0
MORELOS,3,,MORENA,MORENA,PVEM,,,0,0
NAYARIT,3,,MORENA,MORENA,PT,,,0,0
NUEVO LEON,1,,PAN,PAN,PVEM,,,0,0
NUEVO LEON,3,,MORENA,MORENA,PT,,,0,0
NUEVO LEON,4,,PAN,PAN,MORENA,,,0,0
NUEVO LEON,5,,MC,MC,PT,,,0,0
NUEVO LEON,6,,PAN,PAN,PT,,,0,0
NUEVO LEON,7,,MC,MC,PVEM,,,0,0
NUEVO LEON,9,,PRI,PRI,PT,,,0,0
NUEVO LEON,10,,PAN,PAN,MORENA,,,0,0
NUEVO LEON,12,,MC,MC,PVEM,,,0,0
NUEVO LEON,13,,MC,MC,PVEM,,,0,0
NUEVO LEON,14,,MORENA,MORENA,PT,,,0,0
OAXACA,3,,MORENA,MORENA,PT,,,0,0
OAXACA,4,,MORENA,MORENA,PRI,,,0,0
OAXACA,5,,MORENA,MORENA,PAN,,,0,0
OAXACA,6,,MORENA,MORENA,PT,,,0,0
OAXACA,7,,MORENA,MORENA,PVEM,,,0,0
OAXACA,8,,MORENA,MORENA,PVEM,,,0,0
OAXACA,9,,MORENA,MORENA,PVEM,,,0,0
OAXACA,10,,MORENA,MORENA,PAN,,,0,0
PUEBLA,2,,MORENA,MORENA,PVEM,,,0,0
PUEBLA,9,,MORENA,MORENA,PVEM,,,0,0
PUEBLA,11,,MORENA,MORENA,PT,,,0,0
PUEBLA,12,,MORENA,MORENA,PT,,,0,0
PUEBLA,16,,MORENA,MORENA,PVEM,,,0,0
QUERETARO,2,,MORENA,MORENA,PVEM,,,0,0
QUERETARO,5,,PAN,PAN,MORENA,,,0,0
QUINTANA ROO,1,,MORENA,MORENA,PVEM,,,0,0
QUINTANA ROO,3,,MORENA,MORENA,PRI,,,0,0
SAN LUIS POTOSI,1,,PVEM,PVEM,MORENA,,,1,0
SAN LUIS POTOSI,5,,PAN,PAN,PVEM,,,0,0
SAN LUIS POTOSI,7,,PVEM,PVEM,MORENA,,,1,0
SINALOA,1,,MORENA,MORENA,PVEM,,,0,0
SINALOA,2,,MORENA,MORENA,PAN,,,0,0
SINALOA,3,,MORENA,MORENA,PT,,,0,0
SINALOA,4,,MORENA,MORENA,PVEM,,,0,0
SINALOA,6,,MORENA,MORENA,PRI,,,0,0
SONORA,3,,MORENA,MORENA,PT,,,0,0
SONORA,4,,MORENA,MORENA,PT,,,0,0
SONORA,6,,MORENA,MORENA,PVEM,,,0,0
TABASCO,1,,MORENA,MORENA,PRD,,,0,0
TABASCO,2,,MORENA,MORENA,PRD,,,0,0
TABASCO,3,,MORENA,MORENA,PRD,,,0,0
TABASCO,4,,MORENA,MORENA,PRI,,,0,0
TABASCO,5,,MORENA,MORENA,PRD,,,0,0
TABASCO,6,,MORENA,MORENA,PRI,,,0,0
TAMAULIPAS,1,,MORENA,MORENA,PVEM,,,0,0
TAMAULIPAS,3,,MORENA,MORENA,PVEM,,,0,0
TAMAULIPAS,4,,MORENA,MORENA,PVEM,,,0,0
TAMAULIPAS,5,,MORENA,MORENA,PVEM,,,0,0
TAMAULIPAS,8,,PAN,PAN,PT,,,0,0
TLAXCALA,1,,MORENA,MORENA,PT,,,0,0
TLAXCALA,2,,MORENA,MORENA,PVEM,,,0,0
TLAXCALA,3,,MORENA,MORENA,PT,,,0,0
VERACRUZ,1,,MORENA,MORENA,PVEM,,,0,0
VERACRUZ,2,,MORENA,MORENA,PVEM,,,0,0
VERACRUZ,3,,MORENA,MORENA,PVEM,,,0,0
VERACRUZ,4,,PAN,PAN,MORENA,,,0,0
VERACRUZ,8,,MORENA,MORENA,PAN,,,0,0
VERACRUZ,9,,MORENA,MORENA,PT,,,0,0
VERACRUZ,13,,MORENA,MORENA,PVEM,,,0,0
VERACRUZ,18,,MORENA,MORENA,PVEM,,,0,0
YUCATAN,2,,MORENA,MORENA,PVEM,,,0,0
YUCATAN,4,,PAN,PAN,MORENA,,,0,0
YUCATAN,5,,MORENA,MORENA,PVEM,,,0,0
ZACATECAS,2,,MORENA,MORENA,PVEM,,,0,0
ZACATECAS,3,,MORENA,MORENA,PT,,,0,0
ZACATECAS,4,,MORENA,MORENA,PT,,,0,0
