ENTIDAD,ENT_KEY,DISTRITO,DIST_CH,N_PARTY_COLS,PARTY_COLS,TOTAL_VOTOS,N_WINNERS,WINNERS,SIGLADO_DOMINANTE,SIGLADO_PRESENT
CHIHUAHUA,CHIHUAHUA,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,153513,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIHUAHUA,CHIHUAHUA,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,185375,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIHUAHUA,CHIHUAHUA,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,188926,1,PAN,SIGAMOS HACIENDO HISTORIA,True
CHIHUAHUA,CHIHUAHUA,6,006,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,223014,1,PAN,SIGAMOS HACIENDO HISTORIA,True
CHIHUAHUA,CHIHUAHUA,7,007,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,176780,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIHUAHUA,CHIHUAHUA,8,008,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,207131,1,PAN,SIGAMOS HACIENDO HISTORIA,True
CHIHUAHUA,CHIHUAHUA,9,009,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,167598,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,226609,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,283787,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,272192,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,194979,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,232036,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,6,006,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,244777,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
