# COMPARACIÓN: Método REAL vs SINTÉTICO
# Fecha: 2026-01-08 18:28:54
# Configuración: 200 MR + 200 RP = 400 escaños

# MÉTRICAS DE PROPORCIONALIDAD
Métrica,REAL,SINTÉTICO
Configuración,200 MR + 200 RP,400 escaños PR distrital
Loosemore-Hanby,10.7580,13.4226
Gallagher,8.2820,9.8179
Magnitud min,1,1
Magnitud max,1,3
Magnitud promedio,1.00,1.33

# RESULTADOS POR PARTIDO
Partido,Votos_%,REAL_MR,REAL_RP,REAL_Total,REAL_%,REAL_Desv,SINT_MR,SINT_RP,SINT_Total,SINT_%,SINT_Desv,Diff_MR,Diff_RP,Diff_Total
MORENA,42.49,163,50,213,53.25,+10.76,245,0,201,50.25,+7.76,82,-50,-12
PAN,17.58,22,41,63,15.75,-1.83,33,35,68,17.00,-0.58,11,-6,5
PRI,11.59,4,38,42,10.50,-1.09,6,23,29,7.25,-4.34,2,-15,-13
PVEM,8.74,4,26,30,7.50,-1.24,6,18,24,6.00,-2.74,2,-8,-6
PT,5.69,0,17,17,4.25,-1.44,0,11,11,2.75,-2.94,0,-6,-6
MC,11.37,7,28,35,8.75,-2.62,10,23,33,8.25,-3.12,3,-5,-2
PRD,2.54,0,0,0,0.00,-2.54,0,0,0,0.00,-2.54,0,0,0
TOTAL,100.00,200,200,400,100.00,─,300,110,400,100.00,─,100,-90,0
