ENTIDAD,DISTRITO,postuladores,winner_by_votes_raw,winner_by_votes_valid,siglado_ppn,mr_por_convenio,mr_por_afiliacion,PVEM_raw_gana_sin_nominar,incompleto_siglado
CHIAPAS,1,PRD|PT,PVEM,PT,PT,PT,,1,0
SAN LUIS POTOSI,1,MORENA|PRI,PVEM,MORENA,MORENA,MORENA,,1,0
SAN LUIS POTOSI,7,MORENA|PAN,PVEM,MORENA,MORENA,MORENA,,1,0
