ENTIDAD,DISTRITO,assigned_party,reason,postuladores,siglado_ppn,winner_by_votes_valid,winner_by_votes_raw
CIUDAD DE MEXICO,20,MORENA,winner_valid,,PT,MORENA,MORENA
CIUDAD DE MEXICO,21,MORENA,afiliacion,,MORENA,MORENA,MORENA
CIUDAD DE MEXICO,22,MORENA,afiliacion,,MORENA,MORENA,MORENA
COAHUILA,1,PRI,winner_valid,,PT,PRI,PRI
COAHUILA,2,MORENA,afiliacion,,MORENA,MORENA,MORENA
COAHUILA,3,PRI,winner_valid,,PT,PRI,PRI
COAHUILA,4,PRI,winner_valid,,PT,PRI,PRI
COAHUILA,5,PRI,winner_valid,,PVEM,PRI,PRI
COAHUILA,6,MORENA,afiliacion,,MORENA,MORENA,MORENA
COAHUILA,7,MORENA,afiliacion,,MORENA,MORENA,MORENA
COAHUILA,8,MORENA,winner_valid,,PVEM,MORENA,MORENA
COLIMA,1,MORENA,afiliacion,,MORENA,MORENA,MORENA
COLIMA,2,MORENA,afiliacion,,MORENA,MORENA,MORENA
DURANGO,1,MORENA,afiliacion,,MORENA,MORENA,MORENA
DURANGO,2,MORENA,winner_valid,,PT,MORENA,MORENA
DURANGO,3,MORENA,winner_valid,,PVEM,MORENA,MORENA
DURANGO,4,MORENA,winner_valid,,PT,MORENA,MORENA
GUANAJUATO,1,PAN,winner_valid,,PT,PAN,PAN
GUANAJUATO,2,MORENA,afiliacion,,MORENA,MORENA,MORENA
GUANAJUATO,3,PAN,winner_valid,,PVEM,PAN,PAN
GUANAJUATO,4,PAN,winner_valid,,MORENA,PAN,PAN
GUANAJUATO,5,PAN,winner_valid,,PVEM,PAN,PAN
GUANAJUATO,6,PAN,winner_valid,,MORENA,PAN,PAN
GUANAJUATO,7,PAN,winner_valid,,PVEM,PAN,PAN
GUANAJUATO,8,MORENA,afiliacion,,MORENA,MORENA,MORENA
GUANAJUATO,9,PAN,winner_valid,,PVEM,PAN,PAN
GUANAJUATO,10,MORENA,afiliacion,,MORENA,MORENA,MORENA
GUANAJUATO,11,PAN,winner_valid,,MORENA,PAN,PAN
GUANAJUATO,12,MORENA,afiliacion,,MORENA,MORENA,MORENA
GUANAJUATO,13,MORENA,afiliacion,,MORENA,MORENA,MORENA
GUANAJUATO,14,MORENA,afiliacion,,MORENA,MORENA,MORENA
GUANAJUATO,15,MORENA,afiliacion,,MORENA,MORENA,MORENA
GUERRERO,1,MORENA,afiliacion,,MORENA,MORENA,MORENA
GUERRERO,2,MORENA,afiliacion,,MORENA,MORENA,MORENA
GUERRERO,3,MORENA,winner_valid,,PVEM,MORENA,MORENA
GUERRERO,4,MORENA,afiliacion,,MORENA,MORENA,MORENA
GUERRERO,5,MORENA,winner_valid,,PT,MORENA,MORENA
GUERRERO,6,MORENA,winner_valid,,PVEM,MORENA,MORENA
GUERRERO,7,MORENA,afiliacion,,MORENA,MORENA,MORENA
GUERRERO,8,MORENA,winner_valid,,PVEM,MORENA,MORENA
HIDALGO,1,MORENA,winner_valid,,PRI,MORENA,MORENA
HIDALGO,2,MORENA,winner_valid,,PVEM,MORENA,MORENA
HIDALGO,3,MORENA,winner_valid,,PRD,MORENA,MORENA
HIDALGO,4,MORENA,winner_valid,,PRI,MORENA,MORENA
HIDALGO,5,MORENA,winner_valid,,PAN,MORENA,MORENA
HIDALGO,6,MORENA,winner_valid,,PRI,MORENA,MORENA
HIDALGO,7,MORENA,winner_valid,,PRI,MORENA,MORENA
JALISCO,1,MORENA,winner_valid,,PT,MORENA,MORENA
JALISCO,2,MC,winner_valid,,MORENA,MC,MC
JALISCO,3,PAN,afiliacion,,PAN,PAN,PAN
JALISCO,4,MC,winner_valid,,MORENA,MC,MC
JALISCO,5,MORENA,winner_valid,,PRI,MORENA,MORENA
JALISCO,6,MC,winner_valid,,MORENA,MC,MC
JALISCO,7,MORENA,afiliacion,,MORENA,MORENA,MORENA
JALISCO,8,MC,winner_valid,,PT,MC,MC
JALISCO,9,MORENA,afiliacion,,MORENA,MORENA,MORENA
JALISCO,10,PAN,winner_valid,,PVEM,PAN,PAN
JALISCO,11,MORENA,afiliacion,,MORENA,MORENA,MORENA
JALISCO,12,MC,winner_valid,,MORENA,MC,MC
JALISCO,13,MORENA,winner_valid,,PT,MORENA,MORENA
JALISCO,14,MORENA,winner_valid,,PVEM,MORENA,MORENA
JALISCO,15,PAN,winner_valid,,MORENA,PAN,PAN
JALISCO,16,MORENA,afiliacion,,MORENA,MORENA,MORENA
JALISCO,17,MORENA,winner_valid,,PVEM,MORENA,MORENA
JALISCO,18,MORENA,afiliacion,,MORENA,MORENA,MORENA
JALISCO,19,MORENA,afiliacion,,MORENA,MORENA,MORENA
JALISCO,20,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,1,MORENA,winner_valid,,PVEM,MORENA,MORENA
MEXICO,2,MORENA,winner_valid,,PT,MORENA,MORENA
MEXICO,3,MORENA,winner_valid,,PT,MORENA,MORENA
MEXICO,4,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,5,MORENA,winner_valid,,PT,MORENA,MORENA
MEXICO,6,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,7,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,8,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,9,MORENA,winner_valid,,PVEM,MORENA,MORENA
MEXICO,10,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,11,MORENA,winner_valid,,PRD,MORENA,MORENA
MEXICO,12,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,13,MORENA,winner_valid,,PAN,MORENA,MORENA
MEXICO,14,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,15,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,16,MORENA,winner_valid,,PT,MORENA,MORENA
MEXICO,17,MORENA,winner_valid,,PRI,MORENA,MORENA
MEXICO,18,MORENA,winner_valid,,PVEM,MORENA,MORENA
MEXICO,19,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,20,MORENA,winner_valid,,PVEM,MORENA,MORENA
MEXICO,21,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,22,PAN,winner_valid,,MORENA,PAN,PAN
MEXICO,23,MORENA,winner_valid,,PVEM,MORENA,MORENA
MEXICO,24,MORENA,winner_valid,,PVEM,MORENA,MORENA
MEXICO,25,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,26,MORENA,winner_valid,,PVEM,MORENA,MORENA
MEXICO,27,MORENA,winner_valid,,PT,MORENA,MORENA
MEXICO,28,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,29,MORENA,winner_valid,,PRD,MORENA,MORENA
MEXICO,30,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,31,MORENA,winner_valid,,PRD,MORENA,MORENA
MEXICO,32,MORENA,winner_valid,,PT,MORENA,MORENA
MEXICO,33,MORENA,winner_valid,,PRI,MORENA,MORENA
MEXICO,34,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,35,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,36,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,37,MORENA,afiliacion,,MORENA,MORENA,MORENA
MEXICO,38,MORENA,winner_valid,,PVEM,MORENA,MORENA
MEXICO,39,MORENA,winner_valid,,PT,MORENA,MORENA
MEXICO,40,MORENA,winner_valid,,PVEM,MORENA,MORENA
MICHOACAN,1,MORENA,winner_valid,,PRI,MORENA,MORENA
MICHOACAN,2,MORENA,winner_valid,,PRD,MORENA,MORENA
MICHOACAN,3,MORENA,winner_valid,,PT,MORENA,MORENA
MICHOACAN,4,MORENA,afiliacion,,MORENA,MORENA,MORENA
MICHOACAN,5,MORENA,afiliacion,,MORENA,MORENA,MORENA
MICHOACAN,6,MORENA,winner_valid,,PT,MORENA,MORENA
MICHOACAN,7,MORENA,afiliacion,,MORENA,MORENA,MORENA
MICHOACAN,8,MORENA,winner_valid,,PVEM,MORENA,MORENA
MICHOACAN,9,MORENA,winner_valid,,PVEM,MORENA,MORENA
MICHOACAN,10,PAN,winner_valid,,MORENA,PAN,PAN
MICHOACAN,11,MORENA,winner_valid,,PT,MORENA,MORENA
MORELOS,1,MORENA,afiliacion,,MORENA,MORENA,MORENA
MORELOS,2,MORENA,afiliacion,,MORENA,MORENA,MORENA
MORELOS,3,MORENA,winner_valid,,PVEM,MORENA,MORENA
MORELOS,4,MORENA,afiliacion,,MORENA,MORENA,MORENA
MORELOS,5,MORENA,afiliacion,,MORENA,MORENA,MORENA
NAYARIT,1,MORENA,afiliacion,,MORENA,MORENA,MORENA
NAYARIT,2,MORENA,afiliacion,,MORENA,MORENA,MORENA
NAYARIT,3,MORENA,winner_valid,,PT,MORENA,MORENA
NUEVO LEON,1,PAN,winner_valid,,PVEM,PAN,PAN
NUEVO LEON,2,MORENA,afiliacion,,MORENA,MORENA,MORENA
NUEVO LEON,3,MORENA,winner_valid,,PT,MORENA,MORENA
NUEVO LEON,4,PAN,winner_valid,,MORENA,PAN,PAN
NUEVO LEON,5,MC,winner_valid,,PT,MC,MC
