Escenario,Total MR,MR MORENA,% Distritos,MR Necesarios,¿Alcanza?,% Votos Necesario
300-100 CON TOPES,300,121,40.3%,155,❌ No,47.0%
240-160 CON TOPES,240,96,40.0%,125,❌ No,47.5%
