party,mr_raw,mr_votes,used_source,mr_aligned
PAN,58,33,siglado,58
PRI,60,6,siglado,60
PRD,39,0,siglado,39
PVEM,0,6,siglado,0
PT,1,0,siglado,1
MC,1,10,siglado,1
MORENA,141,245,siglado,141
