ENTIDAD,DISTRITO,winner_col,partido_ganador,siglado_dom,siglado_coal,postuladores,coalition_tokens,votos_morena,votos_otros_en_coal
NUEVO LEON,8,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],62051.0,{'MORENA': 62051.0}
OAXACA,8,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],91712.0,{'MORENA': 91712.0}
PUEBLA,8,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],84619.0,{'MORENA': 84619.0}
VERACRUZ,8,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],96713.0,{'MORENA': 96713.0}
BAJA CALIFORNIA,9,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],87019.0,{'MORENA': 87019.0}
CHIAPAS,9,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],73810.0,{'MORENA': 73810.0}
CHIHUAHUA,9,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],55691.0,{'MORENA': 55691.0}
CIUDAD DE MEXICO,9,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],92165.0,{'MORENA': 92165.0}
JALISCO,9,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],73914.0,{'MORENA': 73914.0}
MEXICO,9,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],81596.0,{'MORENA': 81596.0}
MICHOACAN,9,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],43451.0,{'MORENA': 43451.0}
OAXACA,9,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],77078.0,{'MORENA': 77078.0}
PUEBLA,9,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],99498.0,{'MORENA': 99498.0}
VERACRUZ,9,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],91740.0,{'MORENA': 91740.0}
CHIAPAS,10,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],85057.0,{'MORENA': 85057.0}
GUANAJUATO,10,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],80982.0,{'MORENA': 80982.0}
MEXICO,10,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],74689.0,{'MORENA': 74689.0}
OAXACA,10,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],88781.0,{'MORENA': 88781.0}
PUEBLA,10,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],82080.0,{'MORENA': 82080.0}
VERACRUZ,10,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],93575.0,{'MORENA': 93575.0}
CHIAPAS,11,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],82227.0,{'MORENA': 82227.0}
CIUDAD DE MEXICO,11,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],118303.0,{'MORENA': 118303.0}
JALISCO,11,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],75982.0,{'MORENA': 75982.0}
MEXICO,11,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],90715.0,{'MORENA': 90715.0}
MICHOACAN,11,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],58546.0,{'MORENA': 58546.0}
NUEVO LEON,11,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],62045.0,{'MORENA': 62045.0}
PUEBLA,11,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],88163.0,{'MORENA': 88163.0}
VERACRUZ,11,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],123082.0,{'MORENA': 123082.0}
CHIAPAS,12,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],76276.0,{'MORENA': 76276.0}
CIUDAD DE MEXICO,12,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],90521.0,{'MORENA': 90521.0}
GUANAJUATO,12,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],83253.0,{'MORENA': 83253.0}
MEXICO,12,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],73701.0,{'MORENA': 73701.0}
PUEBLA,12,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],88590.0,{'MORENA': 88590.0}
VERACRUZ,12,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],84113.0,{'MORENA': 84113.0}
CHIAPAS,13,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],61477.0,{'MORENA': 61477.0}
CIUDAD DE MEXICO,13,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],104593.0,{'MORENA': 104593.0}
GUANAJUATO,13,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],76892.0,{'MORENA': 76892.0}
JALISCO,13,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],64537.0,{'MORENA': 64537.0}
MEXICO,13,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],106517.0,{'MORENA': 106517.0}
PUEBLA,13,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],86384.0,{'MORENA': 86384.0}
VERACRUZ,13,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],75530.0,{'MORENA': 75530.0}
CIUDAD DE MEXICO,14,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],100927.0,{'MORENA': 100927.0}
GUANAJUATO,14,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],65646.0,{'MORENA': 65646.0}
JALISCO,14,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],49581.0,{'MORENA': 49581.0}
MEXICO,14,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],84986.0,{'MORENA': 84986.0}
NUEVO LEON,14,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],40642.0,{'MORENA': 40642.0}
PUEBLA,14,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],91140.0,{'MORENA': 91140.0}
VERACRUZ,14,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],110851.0,{'MORENA': 110851.0}
GUANAJUATO,15,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],68648.0,{'MORENA': 68648.0}
MEXICO,15,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],89565.0,{'MORENA': 89565.0}
PUEBLA,15,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],90508.0,{'MORENA': 90508.0}
VERACRUZ,15,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],82884.0,{'MORENA': 82884.0}
CIUDAD DE MEXICO,16,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],94695.0,{'MORENA': 94695.0}
JALISCO,16,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],68309.0,{'MORENA': 68309.0}
MEXICO,16,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],96106.0,{'MORENA': 96106.0}
PUEBLA,16,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],86703.0,{'MORENA': 86703.0}
VERACRUZ,16,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],108360.0,{'MORENA': 108360.0}
CIUDAD DE MEXICO,17,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],83254.0,{'MORENA': 83254.0}
JALISCO,17,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],65943.0,{'MORENA': 65943.0}
MEXICO,17,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],80462.0,{'MORENA': 80462.0}
VERACRUZ,17,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],99061.0,{'MORENA': 99061.0}
CIUDAD DE MEXICO,18,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],118908.0,{'MORENA': 118908.0}
JALISCO,18,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],68635.0,{'MORENA': 68635.0}
MEXICO,18,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],85107.0,{'MORENA': 85107.0}
VERACRUZ,18,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],76777.0,{'MORENA': 76777.0}
JALISCO,19,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],71703.0,{'MORENA': 71703.0}
MEXICO,19,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],110177.0,{'MORENA': 110177.0}
VERACRUZ,19,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],89219.0,{'MORENA': 89219.0}
CIUDAD DE MEXICO,20,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],138572.0,{'MORENA': 138572.0}
JALISCO,20,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],54859.0,{'MORENA': 54859.0}
MEXICO,20,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],77522.0,{'MORENA': 77522.0}
CIUDAD DE MEXICO,21,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],94560.0,{'MORENA': 94560.0}
MEXICO,21,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],90419.0,{'MORENA': 90419.0}
CIUDAD DE MEXICO,22,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],113754.0,{'MORENA': 113754.0}
MEXICO,23,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],94474.0,{'MORENA': 94474.0}
MEXICO,24,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],118635.0,{'MORENA': 118635.0}
MEXICO,25,MORENA,MORENA,MORENA,SIGAMOS HACIENDO HISTORIA,"['PVEM', 'MORENA', 'PT']",['MORENA'],82185.0,{'MORENA': 82185.0}
MEXICO,26,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],92886.0,{'MORENA': 92886.0}
MEXICO,27,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],90675.0,{'MORENA': 90675.0}
MEXICO,28,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],71827.0,{'MORENA': 71827.0}
MEXICO,29,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],109968.0,{'MORENA': 109968.0}
MEXICO,30,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],78287.0,{'MORENA': 78287.0}
MEXICO,31,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],117249.0,{'MORENA': 117249.0}
MEXICO,32,MORENA,MORENA,PT,SIGAMOS HACIENDO HISTORIA,"['PVEM', 'MORENA', 'PT']",['MORENA'],80567.0,{'MORENA': 80567.0}
MEXICO,33,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],87131.0,{'MORENA': 87131.0}
MEXICO,34,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],96951.0,{'MORENA': 96951.0}
MEXICO,35,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],76329.0,{'MORENA': 76329.0}
MEXICO,36,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],100964.0,{'MORENA': 100964.0}
MEXICO,37,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],99924.0,{'MORENA': 99924.0}
MEXICO,38,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],81122.0,{'MORENA': 81122.0}
MEXICO,39,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],83020.0,{'MORENA': 83020.0}
MEXICO,40,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],84379.0,{'MORENA': 84379.0}
