ENTIDAD,DISTRITO,winner_col,partido_ganador,siglado_dom,siglado_coal,postuladores,coalition_tokens,votos_morena,votos_otros_en_coal
GUANAJUATO,2,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],74732.0,{'MORENA': 74732.0}
GUERRERO,2,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],90895.0,{'MORENA': 90895.0}
HIDALGO,2,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],106871.0,{'MORENA': 106871.0}
MEXICO,2,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],92208.0,{'MORENA': 92208.0}
MICHOACAN,2,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],45304.0,{'MORENA': 45304.0}
MORELOS,2,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],83447.0,{'MORENA': 83447.0}
NAYARIT,2,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],70449.0,{'MORENA': 70449.0}
NUEVO LEON,2,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],53978.0,{'MORENA': 53978.0}
OAXACA,2,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],84353.0,{'MORENA': 84353.0}
PUEBLA,2,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],81495.0,{'MORENA': 81495.0}
QUERETARO,2,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],66362.0,{'MORENA': 66362.0}
QUINTANA ROO,2,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],105277.0,{'MORENA': 105277.0}
SINALOA,2,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],102435.0,{'MORENA': 102435.0}
SONORA,2,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],79683.0,{'MORENA': 79683.0}
TABASCO,2,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],119627.0,{'MORENA': 119627.0}
TAMAULIPAS,2,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],88980.0,{'MORENA': 88980.0}
TLAXCALA,2,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],101766.0,{'MORENA': 101766.0}
VERACRUZ,2,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],88242.0,{'MORENA': 88242.0}
YUCATAN,2,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],105123.0,{'MORENA': 105123.0}
ZACATECAS,2,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],65503.0,{'MORENA': 65503.0}
BAJA CALIFORNIA,3,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],84747.0,{'MORENA': 84747.0}
CHIAPAS,3,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],89104.0,{'MORENA': 89104.0}
CHIHUAHUA,3,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],97682.0,{'MORENA': 97682.0}
CIUDAD DE MEXICO,3,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],115737.0,{'MORENA': 115737.0}
DURANGO,3,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],81137.0,{'MORENA': 81137.0}
GUERRERO,3,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],107116.0,{'MORENA': 107116.0}
HIDALGO,3,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],95171.0,{'MORENA': 95171.0}
MEXICO,3,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],102752.0,{'MORENA': 102752.0}
MICHOACAN,3,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],65682.0,{'MORENA': 65682.0}
MORELOS,3,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],75890.0,{'MORENA': 75890.0}
NAYARIT,3,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],78690.0,{'MORENA': 78690.0}
NUEVO LEON,3,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],57452.0,{'MORENA': 57452.0}
OAXACA,3,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],103236.0,{'MORENA': 103236.0}
PUEBLA,3,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],78890.0,{'MORENA': 78890.0}
QUINTANA ROO,3,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],108866.0,{'MORENA': 108866.0}
