ENTIDAD,DISTRITO,assigned_party,assigned_source,postuladores_x,siglado_ppn_x,mr_por_convenio_x,mr_por_afiliacion,winner_by_votes_valid_x,winner_by_votes_raw_x,district_id,mr_raw_assigned_party,mr_raw_reasons,winner_by_votes_raw_y,winner_by_votes_valid_y,siglado_ppn_y,mr_por_convenio_y,postuladores_y
CHIHUAHUA,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CHIHUAHUA-2,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CHIHUAHUA,3,MORENA,votes_valid,,PT,,,MORENA,MORENA,CHIHUAHUA-3,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
CHIHUAHUA,4,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,CHIHUAHUA-4,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
CHIHUAHUA,5,PAN,votes_valid,,MORENA,,,PAN,PAN,CHIHUAHUA-5,,,PAN,PAN,MORENA,,
CHIHUAHUA,6,PAN,votes_valid,,MORENA,,,PAN,PAN,CHIHUAHUA-6,,,PAN,PAN,MORENA,,
CHIHUAHUA,7,MORENA,votes_valid,,PT,,,MORENA,MORENA,CHIHUAHUA-7,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
CHIHUAHUA,8,PAN,votes_valid,,PVEM,,,PAN,PAN,CHIHUAHUA-8,,,PAN,PAN,PVEM,,
CHIHUAHUA,9,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,CHIHUAHUA-9,,,MORENA,MORENA,PVEM,,
CIUDAD DE MEXICO,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-1,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,2,MORENA,votes_valid,,PT,,,MORENA,MORENA,CIUDAD DE MEXICO-2,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
CIUDAD DE MEXICO,3,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-3,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-4,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,5,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-5,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,6,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-6,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-7,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,8,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,CIUDAD DE MEXICO-8,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
CIUDAD DE MEXICO,9,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-9,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,10,PAN,votes_valid,,MORENA,,,PAN,PAN,CIUDAD DE MEXICO-10,,,PAN,PAN,MORENA,,
CIUDAD DE MEXICO,11,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-11,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,12,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-12,,,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,13,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-13,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,14,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-14,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,15,PAN,votes_valid,,PVEM,,,PAN,PAN,CIUDAD DE MEXICO-15,,,PAN,PAN,PVEM,,
CIUDAD DE MEXICO,16,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-16,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,17,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,CIUDAD DE MEXICO-17,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
CIUDAD DE MEXICO,18,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-18,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,19,PAN,votes_valid,,PVEM,,,PAN,PAN,CIUDAD DE MEXICO-19,,,PAN,PAN,PVEM,,
CIUDAD DE MEXICO,20,MORENA,votes_valid,,PT,,,MORENA,MORENA,CIUDAD DE MEXICO-20,PRD,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
CIUDAD DE MEXICO,21,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-21,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CIUDAD DE MEXICO,22,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CIUDAD DE MEXICO-22,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
COAHUILA,1,PRI,votes_valid,,PT,,,PRI,PRI,COAHUILA-1,PRI,siglado_ppn_mismatch_fallback_votes,PRI,PRI,PT,,
COAHUILA,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,COAHUILA-2,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
COAHUILA,3,PRI,votes_valid,,PT,,,PRI,PRI,COAHUILA-3,,,PRI,PRI,PT,,
COAHUILA,4,PRI,votes_valid,,PT,,,PRI,PRI,COAHUILA-4,,,PRI,PRI,PT,,
COAHUILA,5,PRI,votes_valid,,PVEM,,,PRI,PRI,COAHUILA-5,,,PRI,PRI,PVEM,,
COAHUILA,6,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,COAHUILA-6,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
COAHUILA,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,COAHUILA-7,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
COAHUILA,8,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,COAHUILA-8,PRD,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
COLIMA,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,COLIMA-1,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
COLIMA,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,COLIMA-2,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
DURANGO,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,DURANGO-1,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
DURANGO,2,MORENA,votes_valid,,PT,,,MORENA,MORENA,DURANGO-2,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
DURANGO,3,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,DURANGO-3,PRD,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
DURANGO,4,MORENA,votes_valid,,PT,,,MORENA,MORENA,DURANGO-4,,,MORENA,MORENA,PT,,
GUANAJUATO,1,PAN,votes_valid,,PT,,,PAN,PAN,GUANAJUATO-1,,,PAN,PAN,PT,,
GUANAJUATO,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,GUANAJUATO-2,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
GUANAJUATO,3,PAN,votes_valid,,PVEM,,,PAN,PAN,GUANAJUATO-3,,,PAN,PAN,PVEM,,
GUANAJUATO,4,PAN,votes_valid,,MORENA,,,PAN,PAN,GUANAJUATO-4,,,PAN,PAN,MORENA,,
GUANAJUATO,5,PAN,votes_valid,,PVEM,,,PAN,PAN,GUANAJUATO-5,,,PAN,PAN,PVEM,,
GUANAJUATO,6,PAN,votes_valid,,MORENA,,,PAN,PAN,GUANAJUATO-6,,,PAN,PAN,MORENA,,
GUANAJUATO,7,PAN,votes_valid,,PVEM,,,PAN,PAN,GUANAJUATO-7,,,PAN,PAN,PVEM,,
GUANAJUATO,8,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,GUANAJUATO-8,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
GUANAJUATO,9,PAN,votes_valid,,PVEM,,,PAN,PAN,GUANAJUATO-9,,,PAN,PAN,PVEM,,
GUANAJUATO,10,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,GUANAJUATO-10,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
GUANAJUATO,11,PAN,votes_valid,,MORENA,,,PAN,PAN,GUANAJUATO-11,,,PAN,PAN,MORENA,,
GUANAJUATO,12,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,GUANAJUATO-12,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
GUANAJUATO,13,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,GUANAJUATO-13,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
GUANAJUATO,14,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,GUANAJUATO-14,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
GUANAJUATO,15,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,GUANAJUATO-15,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
GUERRERO,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,GUERRERO-1,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
GUERRERO,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,GUERRERO-2,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
GUERRERO,3,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,GUERRERO-3,PRD,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
GUERRERO,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,GUERRERO-4,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
GUERRERO,5,MORENA,votes_valid,,PT,,,MORENA,MORENA,GUERRERO-5,PRD,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
GUERRERO,6,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,GUERRERO-6,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
GUERRERO,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,GUERRERO-7,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
GUERRERO,8,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,GUERRERO-8,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
HIDALGO,1,MORENA,votes_valid,,PRI,,,MORENA,MORENA,HIDALGO-1,PRI,siglado_ppn,MORENA,MORENA,PRI,,
HIDALGO,2,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,HIDALGO-2,PRD,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
HIDALGO,3,MORENA,votes_valid,,PRD,,,MORENA,MORENA,HIDALGO-3,PRD,siglado_ppn,MORENA,MORENA,PRD,,
HIDALGO,4,MORENA,votes_valid,,PRI,,,MORENA,MORENA,HIDALGO-4,PRI,siglado_ppn,MORENA,MORENA,PRI,,
HIDALGO,5,MORENA,votes_valid,,PAN,,,MORENA,MORENA,HIDALGO-5,PAN,siglado_ppn,MORENA,MORENA,PAN,,
HIDALGO,6,MORENA,votes_valid,,PRI,,,MORENA,MORENA,HIDALGO-6,PRI,siglado_ppn,MORENA,MORENA,PRI,,
HIDALGO,7,MORENA,votes_valid,,PRI,,,MORENA,MORENA,HIDALGO-7,PRI,siglado_ppn,MORENA,MORENA,PRI,,
JALISCO,1,MORENA,votes_valid,,PT,,,MORENA,MORENA,JALISCO-1,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
JALISCO,2,MC,votes_valid,,MORENA,,,MC,MC,JALISCO-2,MC,individual_party_win,MC,MC,MORENA,,
JALISCO,3,PAN,afiliacion_override,,PAN,PAN,PAN,PAN,PAN,JALISCO-3,,,PAN,PAN,PAN,PAN,
JALISCO,4,MC,votes_valid,,MORENA,,,MC,MC,JALISCO-4,MORENA,siglado_ppn,MC,MC,MORENA,,
JALISCO,5,MORENA,votes_valid,,PRI,,,MORENA,MORENA,JALISCO-5,PRI,siglado_ppn,MORENA,MORENA,PRI,,
JALISCO,6,MC,votes_valid,,MORENA,,,MC,MC,JALISCO-6,MORENA,siglado_ppn,MC,MC,MORENA,,
JALISCO,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,JALISCO-7,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
JALISCO,8,MC,votes_valid,,PT,,,MC,MC,JALISCO-8,,,MC,MC,PT,,
JALISCO,9,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,JALISCO-9,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
JALISCO,10,PAN,votes_valid,,PVEM,,,PAN,PAN,JALISCO-10,,,PAN,PAN,PVEM,,
JALISCO,11,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,JALISCO-11,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
JALISCO,12,MC,votes_valid,,MORENA,,,MC,MC,JALISCO-12,MORENA,siglado_ppn,MC,MC,MORENA,,
JALISCO,13,MORENA,votes_valid,,PT,,,MORENA,MORENA,JALISCO-13,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
JALISCO,14,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,JALISCO-14,PRD,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
JALISCO,15,PAN,votes_valid,,MORENA,,,PAN,PAN,JALISCO-15,,,PAN,PAN,MORENA,,
JALISCO,16,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,JALISCO-16,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
JALISCO,17,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,JALISCO-17,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
JALISCO,18,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,JALISCO-18,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
JALISCO,19,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,JALISCO-19,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
JALISCO,20,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,JALISCO-20,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,1,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,MEXICO-1,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
MEXICO,2,MORENA,votes_valid,,PT,,,MORENA,MORENA,MEXICO-2,PRD,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
MEXICO,3,MORENA,votes_valid,,PT,,,MORENA,MORENA,MEXICO-3,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
MEXICO,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-4,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,5,MORENA,votes_valid,,PT,,,MORENA,MORENA,MEXICO-5,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
MEXICO,6,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-6,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-7,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,8,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-8,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,9,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,MEXICO-9,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
MEXICO,10,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-10,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,11,MORENA,votes_valid,,PRD,,,MORENA,MORENA,MEXICO-11,PRD,siglado_ppn,MORENA,MORENA,PRD,,
MEXICO,12,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-12,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,13,MORENA,votes_valid,,PAN,,,MORENA,MORENA,MEXICO-13,PAN,siglado_ppn,MORENA,MORENA,PAN,,
MEXICO,14,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-14,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,15,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-15,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,16,MORENA,votes_valid,,PT,,,MORENA,MORENA,MEXICO-16,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
MEXICO,17,MORENA,votes_valid,,PRI,,,MORENA,MORENA,MEXICO-17,PRI,siglado_ppn,MORENA,MORENA,PRI,,
MEXICO,18,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,MEXICO-18,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
MEXICO,19,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-19,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,20,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,MEXICO-20,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
MEXICO,21,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-21,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,22,PAN,votes_valid,,MORENA,,,PAN,PAN,MEXICO-22,,,PAN,PAN,MORENA,,
MEXICO,23,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,MEXICO-23,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
MEXICO,24,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,MEXICO-24,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
MEXICO,25,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-25,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,26,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,MEXICO-26,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
MEXICO,27,MORENA,votes_valid,,PT,,,MORENA,MORENA,MEXICO-27,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
MEXICO,28,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-28,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,29,MORENA,votes_valid,,PRD,,,MORENA,MORENA,MEXICO-29,PRD,siglado_ppn,MORENA,MORENA,PRD,,
MEXICO,30,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-30,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,31,MORENA,votes_valid,,PRD,,,MORENA,MORENA,MEXICO-31,PRD,siglado_ppn,MORENA,MORENA,PRD,,
MEXICO,32,MORENA,votes_valid,,PT,,,MORENA,MORENA,MEXICO-32,PT,siglado_ppn,MORENA,MORENA,PT,,
MEXICO,33,MORENA,votes_valid,,PRI,,,MORENA,MORENA,MEXICO-33,PRI,siglado_ppn,MORENA,MORENA,PRI,,
MEXICO,34,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-34,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
MEXICO,35,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,MEXICO-35,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
