ENTIDAD,DF_2021,swing_PAN,swing_PRI,swing_PRD,swing_PVEM,swing_PT,swing_MC,swing_MORENA,swing_VA_X_MEX_PAN_PRI_PRD,swing_JUNTOS_PT_MORENA
1,1,1.6686075262813662,-42.7330606737783,-44.68508837440876,-90.80214815446254,-80.60031185031184,1.4166923313828148,-9.808142061800194,-13.42573963870476,-19.53475086140717
1,2,-41.75197154785836,-49.03436664355749,1.6809038302562689,-75.48806941431671,-63.45300524405002,48.43035179050324,7.668459041805939,-40.67937139649982,3.639894893179485
1,3,-26.069694766013484,-29.649218324648054,8.952451708766716,-69.16210768787792,-39.7081026673377,79.2368125701459,35.436245057258766,-25.658315360549665,31.788532479906184
5,1,-75.48174687711824,23.95548191903184,377.8586278586279,-62.62310276908817,56.30562013950132,,-57.90739810289438,1.7460852431815832,-39.679086907564745
5,2,-73.03303629645728,1.3579970203172176,277.40932642487047,-77.33226837060703,1924.149432955304,,-45.88609329605876,-7.337207972468573,-6.231956063434085
5,3,-73.52482453860151,25.221741348384867,146.11553784860558,90.61326658322903,3797.387669801463,,-32.88153362288453,-19.722219819944478,34.533683997572325
5,4,-32.069016080942376,-3.594126912443411,24.85074626865672,9.295136026380874,1391.7665867306157,,-39.140819964349376,-8.430000177641983,-7.9283709089641
5,5,-66.27947255386462,-5.969948116703726,135.16377649325625,173.646408839779,1059.2592592592594,,-46.20266519502021,-26.76429402932196,-27.625993425042296
5,6,-40.20647583294228,-15.336461260537938,7.638603696098563,-24.11448450347881,414.0120210368144,,-42.07640692985672,-19.91842021322868,-23.513492852228424
5,7,-46.613043135399415,3.00263234127234,-61.53227104458394,81.85603807257584,970.4652378463146,,-38.32607868125321,-7.477795525531327,-7.366766130843516
10,1,-12.775141588856576,44.56975772765247,-35.76318968989126,-47.40338164251207,-6.596153846153846,2.13365539452496,3.3353704400150432,16.35217557044055,2.253686327077742
10,2,-15.105275609179088,72.22638368705785,64.49234259784458,-67.72167797035921,-43.78673383711167,46.922094508301406,-15.834087481146303,44.99049638131443,-16.80352930898925
10,3,25.510252628574147,56.18840499917415,60.52241570952205,-46.40683520599251,16.184062850729518,34.16602613374328,28.86181496122524,46.2840476228424,27.74887680302671
10,4,-16.495757797717143,109.6603620093553,-26.90423162583519,-53.10095065640561,31.662054370828585,-35.421138211382114,21.01154513369624,35.15504396268205,22.66467898021578
13,1,-13.023814571408382,-7.7693363094628625,-10.480613893376416,-63.589479112944815,23.967161016949152,44.18500224517288,52.12458745874587,-9.061469618464436,50.40838068181819
13,2,-52.895344998349294,-0.8356456088275149,-31.618739030646687,-42.660857908847184,-0.6842456608811749,84.65182378019895,23.628819770435204,-19.81847383558062,21.60627516312648
13,3,-28.00497589799409,-26.70660724288254,-61.81069958847737,-57.21940214326001,-4.8582995951417,87.1927554980595,1.5090857911362712,-31.53042970318718,1.2495687262799482
13,4,-37.05246712667621,-15.783664459161148,-44.53029686864579,-43.93887945670628,7.040523945968072,18.589233625033145,-0.0145605445643667,-21.909739672328875,0.2857839891262648
13,5,-40.31484620973602,-6.487792787210312,-8.26583210603829,-76.22509086351673,-21.50753768844221,-2.3322227510709186,13.762026032823997,-18.621150583517554,12.332858209461753
13,6,-63.38446655610834,-44.11839063854377,-32.506780317706315,-33.120793482111225,13.425627817128138,-3.783078643309728,-0.6505539565508812,-47.554156484281165,-0.0984910663551996
13,7,-61.867744610281925,-29.972101327976787,-55.04885993485343,-58.51272015655577,-11.818181818181818,55.188181498417165,-18.21047526673133,-36.561451342281885,-18.01421981960807
15,1,-49.01608369049265,-15.209216101694912,-10.945945945945947,,,,,-22.491175494524285,
15,2,-27.145797905665443,-0.3290021655838747,-70.94784509681449,,,,,-25.418290167316076,
15,3,-38.728139904610494,-20.00079695033671,-3.028664142779881,,,,,-21.679315244134862,
15,4,-62.44974735366798,-33.626513423407616,-13.743293437886916,,,,,-43.38728569907359,
15,5,-72.90035901359543,-41.88275886600505,-36.39906469212782,,,,,-53.092461249919154,
15,6,-11.02648630214846,17.309992706053976,-36.2974319662706,,,,,1.929777539533628,
15,7,-28.430630857815327,17.320925355527887,-9.798372833392287,,,,,-10.527486377284356,
15,8,21.615706871756394,5.254560304927852,-7.158351409978309,,,,,9.641809479697391,
15,9,-21.918941273779986,-18.0672323169708,-33.07275473038998,,,,,-20.14142640988955,
15,10,-11.061695685087056,-0.4818055027260048,-68.99261728983092,,,,,-14.08520410183316,
15,11,-24.796388101983,-4.221991701244813,-52.91686536321729,,,,,-13.81730101341122,
15,12,-12.379227053140095,-45.97734148980809,-4.328358208955224,,,,,-40.296763423908,
15,13,10.588862649501028,28.29592593610066,-31.38858596873864,,,,,18.104670179901877,
15,14,-81.90080302314597,28.79369832693184,-35.49426934097421,,,,,-41.059012714168375,
15,15,-23.207430132944392,15.09962127449366,-1.1205564142194746,,,,,-11.792578210773264,
15,16,-13.880865016785076,-12.169846415475368,-15.496037168625309,,,,,-12.799896491811758,
15,17,11.705036605804004,-11.904626899523702,-8.609437751004016,,,,,-6.354634040282248,
15,18,-49.82438272813924,-11.522936551318168,-65.1926808982534,,,,,-36.79995737133375,
15,19,22.44511066043559,25.943532123307406,22.04724409448819,,,,,24.05807120636019,
15,20,-32.324840764331206,17.71458920619357,-78.80914921941184,,,,,-14.507036283485933,
15,21,-41.36792452830189,-1.594974545794218,-56.50424033347707,,,,,-13.94119363531815,
15,22,-7.319501205071781,-6.300887968453006,1.5304067660088605,,,,,-6.812125249833445,
15,23,-51.5774205245981,-18.05351555016285,-59.37630807869402,,,,,-27.011672224868988,
15,24,-15.038735667802912,17.76922360537671,31.65438165438165,,,,,2.456481135599553,
15,25,14.290161892901615,-37.40110979876541,33.63970588235294,,,,,-31.729589476436622,
15,26,-26.811429609776045,3.4688995215311005,0.589622641509434,,,,,-4.9828803632122165,
15,27,-10.762720505761193,1.1538701428304123,-21.328029375764995,,,,,-3.919233222042995,
