ESTADO,DF,PARTIDO,SWING,VOTOS_LOCAL,VOTOS_FED,RAZON,ACCION
México,14,MC,-100.0,0.0,5492.0,Datos faltantes,EXCLUIR - Sin datos locales
México,14,MORENA,-100.0,0.0,55592.0,Datos faltantes,EXCLUIR - Sin datos locales
México,15,PVEM,-100.0,0.0,5661.0,Datos faltantes,EXCLUIR - Sin datos locales
México,15,PT,-100.0,0.0,2509.0,Datos faltantes,EXCLUIR - Sin datos locales
México,15,MC,-100.0,0.0,4850.0,Datos faltantes,EXCLUIR - Sin datos locales
México,15,MORENA,-100.0,0.0,52209.0,Datos faltantes,EXCLUIR - Sin datos locales
México,16,PVEM,-100.0,0.0,3006.0,Datos faltantes,EXCLUIR - Sin datos locales
México,16,PT,-100.0,0.0,3568.0,Datos faltantes,EXCLUIR - Sin datos locales
México,16,MC,-100.0,0.0,3167.0,Datos faltantes,EXCLUIR - Sin datos locales
México,16,MORENA,-100.0,0.0,60552.0,Datos faltantes,EXCLUIR - Sin datos locales
México,17,PVEM,-100.0,0.0,3294.0,Datos faltantes,EXCLUIR - Sin datos locales
México,17,PT,-100.0,0.0,2757.0,Datos faltantes,EXCLUIR - Sin datos locales
México,17,MC,-100.0,0.0,3468.0,Datos faltantes,EXCLUIR - Sin datos locales
México,17,MORENA,-100.0,0.0,54189.0,Datos faltantes,EXCLUIR - Sin datos locales
México,18,PVEM,-100.0,0.0,4646.0,Datos faltantes,EXCLUIR - Sin datos locales
México,18,PT,-100.0,0.0,2900.0,Datos faltantes,EXCLUIR - Sin datos locales
México,18,MC,-100.0,0.0,6036.0,Datos faltantes,EXCLUIR - Sin datos locales
México,18,MORENA,-100.0,0.0,49466.0,Datos faltantes,EXCLUIR - Sin datos locales
México,19,PVEM,-100.0,0.0,4615.0,Datos faltantes,EXCLUIR - Sin datos locales
México,19,PT,-100.0,0.0,2173.0,Datos faltantes,EXCLUIR - Sin datos locales
México,19,MC,-100.0,0.0,5094.0,Datos faltantes,EXCLUIR - Sin datos locales
México,19,MORENA,-100.0,0.0,63486.0,Datos faltantes,EXCLUIR - Sin datos locales
México,20,PVEM,-100.0,0.0,2952.0,Datos faltantes,EXCLUIR - Sin datos locales
México,20,PT,-100.0,0.0,1846.0,Datos faltantes,EXCLUIR - Sin datos locales
México,20,MC,-100.0,0.0,28967.0,Datos faltantes,EXCLUIR - Sin datos locales
México,20,MORENA,-100.0,0.0,60062.0,Datos faltantes,EXCLUIR - Sin datos locales
México,21,PVEM,-100.0,0.0,13288.0,Datos faltantes,EXCLUIR - Sin datos locales
México,21,PT,-100.0,0.0,1982.0,Datos faltantes,EXCLUIR - Sin datos locales
México,21,MC,-100.0,0.0,11075.0,Datos faltantes,EXCLUIR - Sin datos locales
México,21,MORENA,-100.0,0.0,57669.0,Datos faltantes,EXCLUIR - Sin datos locales
México,22,PVEM,-100.0,0.0,3860.0,Datos faltantes,EXCLUIR - Sin datos locales
México,22,PT,-100.0,0.0,3782.0,Datos faltantes,EXCLUIR - Sin datos locales
México,22,MC,-100.0,0.0,7664.0,Datos faltantes,EXCLUIR - Sin datos locales
México,22,MORENA,-100.0,0.0,50568.0,Datos faltantes,EXCLUIR - Sin datos locales
México,23,PVEM,-100.0,0.0,16501.0,Datos faltantes,EXCLUIR - Sin datos locales
México,23,PT,-100.0,0.0,5676.0,Datos faltantes,EXCLUIR - Sin datos locales
México,23,MC,-100.0,0.0,3029.0,Datos faltantes,EXCLUIR - Sin datos locales
México,23,MORENA,-100.0,0.0,63760.0,Datos faltantes,EXCLUIR - Sin datos locales
México,24,PVEM,-100.0,0.0,4035.0,Datos faltantes,EXCLUIR - Sin datos locales
México,24,PT,-100.0,0.0,3002.0,Datos faltantes,EXCLUIR - Sin datos locales
México,24,MC,-100.0,0.0,8582.0,Datos faltantes,EXCLUIR - Sin datos locales
México,24,MORENA,-100.0,0.0,58846.0,Datos faltantes,EXCLUIR - Sin datos locales
México,25,PVEM,-100.0,0.0,2170.0,Datos faltantes,EXCLUIR - Sin datos locales
México,25,PT,-100.0,0.0,1988.0,Datos faltantes,EXCLUIR - Sin datos locales
México,25,MC,-100.0,0.0,2028.0,Datos faltantes,EXCLUIR - Sin datos locales
México,25,MORENA,-100.0,0.0,57495.0,Datos faltantes,EXCLUIR - Sin datos locales
México,26,PVEM,-100.0,0.0,6368.0,Datos faltantes,EXCLUIR - Sin datos locales
México,26,PT,-100.0,0.0,2771.0,Datos faltantes,EXCLUIR - Sin datos locales
México,26,MC,-100.0,0.0,4537.0,Datos faltantes,EXCLUIR - Sin datos locales
México,26,MORENA,-100.0,0.0,65864.0,Datos faltantes,EXCLUIR - Sin datos locales
México,27,PVEM,-100.0,0.0,6415.0,Datos faltantes,EXCLUIR - Sin datos locales
México,27,PT,-100.0,0.0,10480.0,Datos faltantes,EXCLUIR - Sin datos locales
México,27,MC,-100.0,0.0,12855.0,Datos faltantes,EXCLUIR - Sin datos locales
México,27,MORENA,-100.0,0.0,54475.0,Datos faltantes,EXCLUIR - Sin datos locales
México,28,PVEM,-100.0,0.0,12665.0,Datos faltantes,EXCLUIR - Sin datos locales
México,28,PT,-100.0,0.0,2880.0,Datos faltantes,EXCLUIR - Sin datos locales
México,28,MC,-100.0,0.0,3723.0,Datos faltantes,EXCLUIR - Sin datos locales
México,28,MORENA,-100.0,0.0,58748.0,Datos faltantes,EXCLUIR - Sin datos locales
México,29,PVEM,-100.0,0.0,2684.0,Datos faltantes,EXCLUIR - Sin datos locales
México,29,PT,-100.0,0.0,2395.0,Datos faltantes,EXCLUIR - Sin datos locales
México,29,MC,-100.0,0.0,30974.0,Datos faltantes,EXCLUIR - Sin datos locales
México,29,MORENA,-100.0,0.0,64134.0,Datos faltantes,EXCLUIR - Sin datos locales
México,30,PVEM,-100.0,0.0,3448.0,Datos faltantes,EXCLUIR - Sin datos locales
México,30,PT,-100.0,0.0,2091.0,Datos faltantes,EXCLUIR - Sin datos locales
México,30,MC,-100.0,0.0,1955.0,Datos faltantes,EXCLUIR - Sin datos locales
México,30,MORENA,-100.0,0.0,54423.0,Datos faltantes,EXCLUIR - Sin datos locales
México,31,PVEM,-100.0,0.0,2869.0,Datos faltantes,EXCLUIR - Sin datos locales
México,31,PT,-100.0,0.0,2348.0,Datos faltantes,EXCLUIR - Sin datos locales
México,31,MC,-100.0,0.0,31868.0,Datos faltantes,EXCLUIR - Sin datos locales
México,31,MORENA,-100.0,0.0,63124.0,Datos faltantes,EXCLUIR - Sin datos locales
México,32,PVEM,-100.0,0.0,11062.0,Datos faltantes,EXCLUIR - Sin datos locales
México,32,PT,-100.0,0.0,3019.0,Datos faltantes,EXCLUIR - Sin datos locales
México,32,MC,-100.0,0.0,4504.0,Datos faltantes,EXCLUIR - Sin datos locales
México,32,MORENA,-100.0,0.0,60636.0,Datos faltantes,EXCLUIR - Sin datos locales
México,33,PVEM,-100.0,0.0,7452.0,Datos faltantes,EXCLUIR - Sin datos locales
México,33,PT,-100.0,0.0,2925.0,Datos faltantes,EXCLUIR - Sin datos locales
México,33,MC,-100.0,0.0,6588.0,Datos faltantes,EXCLUIR - Sin datos locales
México,33,MORENA,-100.0,0.0,58650.0,Datos faltantes,EXCLUIR - Sin datos locales
México,34,PVEM,-100.0,0.0,6330.0,Datos faltantes,EXCLUIR - Sin datos locales
México,34,PT,-100.0,0.0,3210.0,Datos faltantes,EXCLUIR - Sin datos locales
México,34,MC,-100.0,0.0,5300.0,Datos faltantes,EXCLUIR - Sin datos locales
México,34,MORENA,-100.0,0.0,64769.0,Datos faltantes,EXCLUIR - Sin datos locales
México,35,PVEM,-100.0,0.0,18500.0,Datos faltantes,EXCLUIR - Sin datos locales
México,35,PT,-100.0,0.0,9823.0,Datos faltantes,EXCLUIR - Sin datos locales
México,35,MC,-100.0,0.0,13261.0,Datos faltantes,EXCLUIR - Sin datos locales
México,35,MORENA,-100.0,0.0,48099.0,Datos faltantes,EXCLUIR - Sin datos locales
México,36,PVEM,-100.0,0.0,13659.0,Datos faltantes,EXCLUIR - Sin datos locales
México,36,PT,-100.0,0.0,3261.0,Datos faltantes,EXCLUIR - Sin datos locales
