ESTADO,DISTRITOS,PAN_swing_prom,PAN_n,PRI_swing_prom,PRI_n,PRD_swing_prom,PRD_n,PVEM_swing_prom,PVEM_n,PT_swing_prom,PT_n,MC_swing_prom,MC_n,MORENA_swing_prom,MORENA_n
Aguascalientes,3,-22.051019595863494,3,-40.472215213994616,3,-11.350577611795257,3,-78.48410841888573,3,-61.253806587233186,3,43.02795223067732,3,11.098854012421503,3
Coahuila,7,-58.17251647361797,7,4.091045191331597,7,129.64347822079023,7,27.334427696970106,7,1373.3351182527533,7,,0,-43.202999398902456,7
Durango,4,-4.7164805917946655,4,70.66122710580994,4,15.586834247910044,4,-53.658211368817355,4,-0.6341926154268531,4,11.950159456296884,4,9.343660763447556,4
Hidalgo,7,-42.36337999579347,7,-18.81050548200928,7,-34.894545962820615,7,-53.60960330342029,7,0.7950068596283517,7,40.52738503607157,7,10.306989897899253,7
México,40,-22.15847307618936,40,0.6717737629054916,40,-26.83140674970008,40,,0,,0,,0,,0
Oaxaca,10,-53.821937172250465,10,-31.427312792444905,10,-51.374619197595315,10,-64.28394313688518,10,-50.11136933721509,10,-23.06496082424624,10,-29.029054888430334,10
Quintana Roo,4,-16.253325108513785,4,-67.14571514725503,4,-33.9153473338023,4,289.7262476230995,4,-31.973331774083025,4,227.15885632192348,4,-33.71933960692701,4
Tamaulipas,8,4.5220983636888,8,-45.43564904698573,8,22.884969327784322,8,,0,,0,19.163797645898455,8,,0
