ESTADO,DISTRITOS,swing_PAN_prom,swing_PRI_prom,swing_PRD_prom,swing_VxM_prom,swing_JUNTOS_prom
Aguascalientes,3,-22.051019595863494,-40.472215213994616,-11.350577611795257,-26.587808798584746,5.2978921705595
Coahuila,7,-58.17251647361797,4.091045191331597,129.64347822079023,-12.557693213565061,-11.11599747007212
Durango,4,-4.7164805917946655,70.66122710580994,15.586834247910044,35.69544088431986,8.965928200332744
Hidalgo,7,-42.36337999579347,-18.81050548200928,-34.894545962820615,-26.43669589137739,9.681450840549905
México,40,-22.15847307618936,0.6717737629054916,-26.83140674970008,-12.863145874118738,
Oaxaca,10,-53.821937172250465,-31.427312792444905,-51.374619197595315,-37.769397365790006,-32.43252928110256
Quintana Roo,4,-16.253325108513785,-67.14571514725503,-33.9153473338023,-40.19900847014816,-33.8566267853199
Tamaulipas,8,4.5220983636888,-45.43564904698573,22.884969327784322,-7.4190819456504675,
