CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CXQROO,FXMQROO,PAN_PRD_CXQROO,PAN_PRD,PAN_CXQROO,PRD_CXQROO,PVEM_PT_MORENA_FXMQROO,PVEM_PT_MORENA,PVEM_PT_FXMQROO,PVEM_MORENA_FXMQROO,PT_MORENA_FXMQROO,PVEM_PT,PVEM_MORENA,PVEM_FXMQROO,PT_MORENA,PT_FXMQROO,MORENA_FXMQROO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,85,2,25,6,6,46,2,43,74,12,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,217,0,11,228,898
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,86,2,51,11,2,62,1,60,114,11,2,1,1,2,0,0,0,1,0,0,0,0,2,0,1,0,0,322,0,17,339,1036
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,87,1,15,6,1,84,1,30,58,7,4,3,1,2,0,0,1,0,0,0,0,0,2,0,0,0,0,215,0,15,230,718
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,88,1,24,5,3,78,5,23,51,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,14,207,553
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,89,1,22,4,2,76,2,27,68,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,10,219,530
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,90,2,62,9,5,131,10,46,157,38,6,8,7,1,0,0,0,1,0,0,0,0,3,0,0,0,0,484,4,29,517,1231
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,91,2,57,13,6,166,6,69,192,29,6,3,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,553,1,16,570,1294
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,92,2,73,24,3,105,8,47,171,9,2,5,0,1,0,0,1,1,0,2,1,0,0,0,2,0,1,456,0,21,477,1153
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,93,3,142,26,4,177,16,67,179,17,5,6,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,645,2,26,673,1838
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,94,2,40,18,1,169,10,57,193,27,4,4,1,3,1,0,0,0,0,0,0,1,8,0,0,0,1,538,0,50,588,1199
