CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PANALH,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_PANALH,PT_MORENA,PT_PANALH,MORENA_PANALH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1732,1,26,64,2,6,7,19,133,27,0,0,0,0,2,0,0,2,288,0,7,295,593
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1733,1,28,72,1,3,9,24,206,26,6,0,0,0,2,0,0,2,379,0,5,384,724
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1734,1,11,54,1,3,6,7,102,48,1,1,0,0,0,0,0,4,238,0,4,242,407
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1735,1,12,97,2,6,4,13,151,45,4,0,0,0,6,2,0,4,346,0,12,358,604
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1736,2,10,94,2,4,9,18,237,13,3,0,0,0,4,1,0,4,399,0,13,412,771
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1737,2,19,136,3,6,5,29,203,41,3,0,0,0,4,1,0,2,452,2,6,460,772
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1738,1,17,97,1,8,10,15,193,68,4,0,0,0,7,0,0,9,429,0,4,433,693
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1739,1,19,75,0,4,11,22,132,17,5,0,0,0,4,2,0,2,293,0,4,297,590
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1740,1,20,65,3,2,6,11,166,24,3,1,0,0,3,2,0,6,312,0,4,316,673
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1741,2,21,102,1,8,13,21,241,25,4,2,0,0,4,0,0,2,444,0,18,462,825
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1742,2,13,65,3,3,7,21,228,24,5,0,0,0,5,1,0,1,376,0,6,382,799
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1743,1,17,83,3,3,12,5,178,44,4,0,0,0,3,1,0,2,355,0,3,358,593
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1744,2,34,143,2,11,7,23,234,64,3,3,0,1,7,2,0,2,536,1,14,551,909
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1745,2,16,104,9,15,6,33,229,22,3,1,0,0,5,0,0,3,446,0,6,452,907
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1746,1,12,49,2,9,4,9,166,16,3,0,0,0,0,0,0,0,270,0,4,274,638
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1747,2,19,96,6,13,7,17,182,29,0,0,0,0,0,1,0,0,370,1,7,378,769
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1748,2,14,90,5,8,2,13,219,22,3,1,1,0,7,2,0,4,391,0,3,394,845
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1749,1,12,87,4,2,3,14,142,11,5,1,0,0,6,1,0,0,288,0,3,291,601
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1750,3,43,242,3,23,18,49,498,81,11,3,0,0,11,2,0,2,986,1,27,1014,1751
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1751,2,36,167,1,10,13,34,320,44,5,2,0,0,8,8,0,4,652,1,17,670,1422
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1752,2,24,131,5,7,12,31,310,41,3,1,0,0,10,0,1,6,582,0,14,596,1268
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1754,2,14,87,3,5,16,15,317,20,2,0,0,0,2,0,0,8,489,0,13,502,1050
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1755,2,10,90,2,4,16,27,295,16,5,0,0,0,10,2,0,5,482,0,8,490,1090
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1756,2,7,80,3,5,6,19,219,13,6,3,0,0,6,2,0,3,372,0,12,384,868
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1757,3,13,121,3,14,14,30,489,26,8,1,0,0,15,2,0,4,740,0,14,754,1674
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1758,2,5,97,3,3,11,17,242,12,6,0,0,0,5,2,0,3,406,0,3,409,794
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1759,2,26,133,2,11,21,33,318,27,6,2,0,0,9,1,0,0,589,3,11,603,1193
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1760,2,17,99,1,12,12,23,276,12,4,2,0,0,10,2,0,1,471,0,14,485,985
5,13,HIDALGO,17,VILLAS DEL ALAMO,40,MINERAL DE LA REFORMA,1761,2,24,107,0,7,13,22,307,16,10,0,0,0,9,2,0,3,520,0,6,526,1160
