CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,MORENA_PT_PVEM,MC,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,689,2,166,43,3,176,14,7,4,0,0,413,0,19,432,826
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,690,2,185,53,8,202,16,4,2,0,1,471,0,13,484,942
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,691,2,148,16,4,270,16,2,2,1,0,459,0,22,481,909
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,695,2,165,33,2,207,17,1,4,0,1,430,0,16,446,875
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,696,1,100,35,3,97,11,0,5,0,1,252,0,11,263,554
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,697,2,155,41,4,192,15,3,3,1,0,414,0,18,432,899
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,698,2,216,62,12,340,26,6,5,1,0,668,0,15,683,1421
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,699,11,811,95,16,1668,103,15,5,3,0,2716,2,74,2792,7449
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,701,2,135,23,1,117,6,5,0,0,0,287,0,6,293,674
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,702,1,189,10,3,77,5,1,2,0,0,287,0,7,294,480
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,703,2,117,25,5,180,11,5,1,1,0,345,0,8,353,615
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,704,1,66,21,5,170,6,0,0,0,0,268,0,5,273,495
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,705,1,155,25,1,134,6,2,3,0,0,326,0,11,337,546
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,706,1,158,19,3,148,7,4,5,0,0,344,0,8,352,685
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,707,1,25,6,1,14,3,0,0,0,0,49,0,2,51,102
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,708,1,55,10,2,62,5,0,0,0,0,134,0,3,137,254
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,709,4,370,49,24,804,56,3,5,4,1,1316,0,60,1376,2688
,28,TAMAULIPAS,9,VALLE HERMOSO,22,MATAMOROS,1997,3,247,29,5,506,31,9,8,2,0,837,1,28,866,1829
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1516,2,294,43,18,310,25,7,1,1,0,699,0,24,723,1359
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1517,2,200,80,24,279,32,5,6,1,0,627,0,13,640,1282
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1518,2,207,88,34,364,43,4,4,0,0,744,3,16,763,1474
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1519,2,196,56,25,284,13,2,7,1,0,584,0,11,595,1077
