CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,1,AGUASCALIENTES,12,AGUASCALIENTES,1,AGUASCALIENTES,614,4,223,21,19,7,8,81,360,14,11,5,2,0,0,751,2,21,774,2602
,1,AGUASCALIENTES,12,AGUASCALIENTES,1,AGUASCALIENTES,615,2,107,13,36,3,3,27,118,3,8,1,0,0,0,319,0,10,329,1317
,1,AGUASCALIENTES,12,AGUASCALIENTES,1,AGUASCALIENTES,616,1,106,47,30,1,2,23,74,3,4,6,0,0,0,296,0,8,304,714
,1,AGUASCALIENTES,12,AGUASCALIENTES,1,AGUASCALIENTES,617,4,301,26,22,8,7,76,395,10,13,3,4,0,0,865,1,13,879,2275
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,618,3,488,48,14,7,10,113,427,14,12,1,0,0,1,1135,0,19,1154,2055
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,619,2,200,27,8,3,6,48,296,4,5,2,1,0,0,600,0,16,616,1249
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,620,3,300,55,11,9,2,85,453,12,9,5,3,0,0,944,0,20,964,2093
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,621,4,264,40,27,6,9,115,527,19,11,1,0,0,1,1020,0,23,1043,2875
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,622,3,501,40,12,7,5,87,286,11,17,2,0,0,0,968,0,18,986,1755
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,623,2,213,22,5,6,4,52,214,11,10,2,1,0,1,541,1,15,557,1301
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,624,4,440,52,10,6,8,101,408,13,20,4,1,0,0,1063,1,22,1086,2263
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,625,3,100,23,6,3,3,28,158,5,1,1,0,0,0,328,0,4,332,1530
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,626,4,209,33,17,5,3,60,312,13,14,5,1,0,0,672,0,26,698,2650
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,627,2,159,20,1,4,1,53,208,7,5,3,0,0,0,461,1,11,473,1361
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,628,2,71,7,2,1,4,28,118,1,8,0,0,0,0,240,0,5,245,996
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,629,2,264,34,3,4,7,22,157,11,10,7,0,0,0,519,0,18,537,1232
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,630,2,73,27,8,2,3,12,119,8,2,5,0,0,0,259,0,6,265,756
,1,AGUASCALIENTES,18,AGUASCALIENTES,1,AGUASCALIENTES,631,3,367,30,17,3,5,36,198,18,9,10,2,0,0,695,0,22,717,1696
,1,AGUASCALIENTES,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,2,148,25,11,3,2,25,183,5,23,2,0,1,1,429,0,17,446,1125
