CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM_PT_MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,15,MEXICO,33,OJO DE AGUA,93,TEOTIHUACAN,4540,3,26,327,20,475,12,9,4,0,1,1,3,0,0,6,0,0,884,3,19,906,1990
,15,MEXICO,33,OJO DE AGUA,93,TEOTIHUACAN,4541,3,24,264,16,442,17,3,7,1,3,1,3,0,0,2,0,0,783,0,23,806,1742
,15,MEXICO,33,OJO DE AGUA,93,TEOTIHUACAN,4542,5,50,624,16,863,12,14,4,2,0,1,12,0,0,5,1,0,1604,5,35,1644,3091
,15,MEXICO,33,OJO DE AGUA,93,TEOTIHUACAN,4543,3,32,362,13,664,7,14,3,0,1,2,3,0,0,3,1,2,1107,1,32,1140,2155
,15,MEXICO,33,OJO DE AGUA,93,TEOTIHUACAN,4544,1,4,32,1,33,5,1,0,0,0,0,1,0,0,0,0,0,77,0,3,80,128
,15,MEXICO,33,OJO DE AGUA,93,TEOTIHUACAN,4545,4,36,452,14,758,48,7,2,1,0,0,5,0,0,2,6,0,1331,3,36,1370,2807
,15,MEXICO,34,TOLUCA DE LERDO,107,TOLUCA,5169,4,88,493,11,625,19,30,9,0,0,3,18,0,0,3,2,0,1301,2,33,1336,2304
,15,MEXICO,34,TOLUCA DE LERDO,107,TOLUCA,5170,4,161,627,26,651,18,4,3,1,0,0,3,1,0,3,0,0,1498,0,32,1530,2313
,15,MEXICO,34,TOLUCA DE LERDO,107,TOLUCA,5171,2,80,413,4,386,7,31,8,2,1,3,2,1,0,0,0,0,938,1,18,957,1470
,15,MEXICO,34,TOLUCA DE LERDO,107,TOLUCA,5172,2,52,209,5,270,4,16,5,0,0,0,2,2,1,0,1,0,567,2,20,589,944
,15,MEXICO,34,TOLUCA DE LERDO,107,TOLUCA,5173,3,66,392,10,377,10,31,9,1,3,0,13,0,0,2,0,0,914,2,17,933,1542
,15,MEXICO,34,TOLUCA DE LERDO,107,TOLUCA,5174,4,359,949,30,763,23,64,14,3,0,1,13,0,0,3,0,0,2222,0,31,2253,1820
,15,MEXICO,34,TOLUCA DE LERDO,107,TOLUCA,5175,3,138,398,10,510,5,28,8,1,4,2,11,0,0,0,1,0,1116,2,20,1138,1663
,15,MEXICO,34,TOLUCA DE LERDO,107,TOLUCA,5180,2,142,369,11,338,13,42,9,2,1,2,11,0,0,1,0,0,941,3,24,968,1365
,15,MEXICO,34,TOLUCA DE LERDO,107,TOLUCA,5181,2,91,297,7,234,7,19,7,1,1,1,6,0,0,0,0,0,671,1,20,692,1036
,15,MEXICO,34,TOLUCA DE LERDO,107,TOLUCA,5182,1,19,121,7,118,9,5,2,2,0,1,2,0,0,0,1,0,287,1,10,298,462
