entidad,distrito,coalicion,grupo_parlamentario
SAN LUIS POTOSI,239,FUERZA Y CORAZON POR MEXICO,PRI
SAN LUIS POTOSI,239,SIGAMOS HACIENDO HISTORIA,PVEM
SAN LUIS POTOSI,240,FUERZA Y CORAZON POR MEXICO,PAN
SAN LUIS POTOSI,240,SIGAMOS HACIENDO HISTORIA,MORENA
SINALOA,241,FUERZA Y CORAZON POR MEXICO,PAN
SINALOA,241,SIGAMOS HACIENDO HISTORIA,PVEM
SINALOA,242,FUERZA Y CORAZON POR MEXICO,PAN
SINALOA,243,FUERZA Y CORAZON POR MEXICO,PRI
SINALOA,243,SIGAMOS HACIENDO HISTORIA,PT
SINALOA,244,FUERZA Y CORAZON POR MEXICO,PRD
SINALOA,244,SIGAMOS HACIENDO HISTORIA,PVEM
SINALOA,245,FUERZA Y CORAZON POR MEXICO,PAN
SINALOA,245,SIGAMOS HACIENDO HISTORIA,MORENA
SINALOA,246,FUERZA Y CORAZON POR MEXICO,PRI
SINALOA,247,FUERZA Y CORAZON POR MEXICO,PRI
SINALOA,247,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,248,FUERZA Y CORAZON POR MEXICO,PAN
SONORA,248,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,249,FUERZA Y CORAZON POR MEXICO,PRI
SONORA,249,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,250,FUERZA Y CORAZON POR MEXICO,PAN
SONORA,250,SIGAMOS HACIENDO HISTORIA,PT
SONORA,251,FUERZA Y CORAZON POR MEXICO,PRD
SONORA,251,SIGAMOS HACIENDO HISTORIA,PT
SONORA,252,FUERZA Y CORAZON POR MEXICO,PRI
SONORA,252,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,253,FUERZA Y CORAZON POR MEXICO,PAN
SONORA,253,SIGAMOS HACIENDO HISTORIA,PVEM
SONORA,254,FUERZA Y CORAZON POR MEXICO,PRI
SONORA,254,SIGAMOS HACIENDO HISTORIA,MORENA
TABASCO,255,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,256,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,257,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,258,FUERZA Y CORAZON POR MEXICO,PRI
TABASCO,259,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,260,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,261,FUERZA Y CORAZON POR MEXICO,PAN
TAMAULIPAS,261,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,262,FUERZA Y CORAZON POR MEXICO,PAN
TAMAULIPAS,262,SIGAMOS HACIENDO HISTORIA,MORENA
TAMAULIPAS,263,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,263,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,264,FUERZA Y CORAZON POR MEXICO,PRD
TAMAULIPAS,264,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,265,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,265,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,266,FUERZA Y CORAZON POR MEXICO,PAN
TAMAULIPAS,266,SIGAMOS HACIENDO HISTORIA,MORENA
TAMAULIPAS,267,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,267,SIGAMOS HACIENDO HISTORIA,MORENA
TAMAULIPAS,268,FUERZA Y CORAZON POR MEXICO,PAN
TAMAULIPAS,268,SIGAMOS HACIENDO HISTORIA,PT
TLAXCALA,269,FUERZA Y CORAZON POR MEXICO,PAN
TLAXCALA,269,SIGAMOS HACIENDO HISTORIA,PT
TLAXCALA,270,FUERZA Y CORAZON POR MEXICO,PRI
TLAXCALA,270,SIGAMOS HACIENDO HISTORIA,PVEM
TLAXCALA,271,FUERZA Y CORAZON POR MEXICO,PRD
TLAXCALA,271,SIGAMOS HACIENDO HISTORIA,PT
VERACRUZ,272,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,272,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,273,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,273,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,274,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,274,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,275,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,275,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,276,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,276,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,277,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,277,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,278,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,278,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,279,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,280,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,280,SIGAMOS HACIENDO HISTORIA,PT
VERACRUZ,281,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,281,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,282,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,282,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,283,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,283,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,284,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,284,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,285,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,285,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,286,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,286,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,287,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,287,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,288,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,288,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,289,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,289,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,290,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,290,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATAN,291,FUERZA Y CORAZON POR MEXICO,PAN
YUCATAN,291,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATAN,292,FUERZA Y CORAZON POR MEXICO,PAN
YUCATAN,292,SIGAMOS HACIENDO HISTORIA,PVEM
YUCATAN,293,FUERZA Y CORAZON POR MEXICO,PRI
YUCATAN,293,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATAN,294,FUERZA Y CORAZON POR MEXICO,PAN
YUCATAN,294,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATAN,295,FUERZA Y CORAZON POR MEXICO,PRI
YUCATAN,295,SIGAMOS HACIENDO HISTORIA,PVEM
YUCATAN,296,FUERZA Y CORAZON POR MEXICO,PAN
YUCATAN,296,SIGAMOS HACIENDO HISTORIA,MORENA
ZACATECAS,297,FUERZA Y CORAZON POR MEXICO,PRI
ZACATECAS,297,SIGAMOS HACIENDO HISTORIA,MORENA
ZACATECAS,298,FUERZA Y CORAZON POR MEXICO,PAN
ZACATECAS,298,SIGAMOS HACIENDO HISTORIA,PVEM
ZACATECAS,299,FUERZA Y CORAZON POR MEXICO,PRD
ZACATECAS,299,SIGAMOS HACIENDO HISTORIA,PT
ZACATECAS,300,FUERZA Y CORAZON POR MEXICO,PRI
ZACATECAS,300,SIGAMOS HACIENDO HISTORIA,PT
